ougOhMxfMpfatmW_hARXjg,
6SuvB6Hf-ovs0HaJ69yovQ,
IxYrC_pt3x-PROoxMJbnCQ,
GRGvIxS-ldz5Vfk8zWg9pg,
2B5_-I-r7hjEnD0PgydJRw,
VWTKZjQ66iw_NBittK3M-w,
4bhuHOp9BQmH1mBDBhFcYg,
6IvF0r51xxARLwXiTrUnCg,
v08JKBYcjzyavW43ng0Tkg,
aypM_3fXld42sktb3z5w0Q,
I4ctUaB5XmBzb5Qxybxd7g,
da45kaCZ2g8Y-B9UVD5xBg,
faWRxoQnkCMAlU3djxF7xg,
syhjh_HxpNrQEFtMPDn0IQ,
KJymObfcy1BY1pru7I6x8g,
-SC9B-GmTn4iNWHhnxTwgw,
c_eudHft3OL_6d_59thukA,"
                

    Elite 2017

                

    ’16

        "
73WUnR3acOoG5Pu0FyjWDw,
sgq1mK30km5XxZ5VJcO4zQ,
jBRqDKPzObcofYnsW1GCCA,
wLroMYdubw2BgVpfO8dVkw,
qqSsylr1Q1TXbf8uPK0EEA,
EFsc4vlRdGJNHTvZsK1hRQ,
bmC1KipUO1gnpVGPAaP5BQ,
jZ6j4UYKNQibZDowK3L4BA,
Rl4RPB_Jm343W-z49Inqpg,
K9Uprpxp9moVU262WPsUgw,
5KHRa_G4HJ5LnuONTHl4WQ,
AJn-N9MMF9EGVnm3uL0SWA,
a4sd3eZGR3jf_FC_YP-j8w,
1ZtKelqtyJqtbXJ8ZkTNEA,
p4dxQHEkKOnj4wHLkgxUgw,
hdSsWXKiVOxCQyTvH7-dXw,
Uxr0Q7Doq8b-5NVFh6Kdag,
IVHeD68dSAkYc3MU__Vhsw,
9xhLp84QIgz0z2lRX2jioQ,
ajJP1GNrF8vmNvoTQyRjGQ,
bRnKs5f0af_mKXMj-te1Og,
5DENA5cgd1bLdau1mhy7tw,
g8uZqk1cNdJLV9UeUddlKw,
-FuSIuKybb7ujAm4qsw6MQ,
wuuE6UnZV3oBbEA2YJW1VA,
CyDgc__rLJwERvY2Y_rFZQ,
8jW3qoXUmRs1myNDkSW00w,
z86_e-uQKGe6HPFwo6_FzQ,
4mPnbt_6EjdsOh0Hdju4aQ,
EMfD7LPr04ATYaJ2E5fx3w,
v0hQwY2bKzJyk6480QKt1Q,
dOEXgR1jbjJNYsYwsH0D3g,
WXryFm1TJD1COftqPGk05w,
bwIj0xugAtIHjO2ltq--2A,
tCS9wJj9aFn7Vu9xKTHq-Q,
LnMf43ius61OOrzYfdF-fg,
eM_9o4DlN4DFrimumwiq_A,
aQIE7liHXUzmAd9VYIHstA,
oeYWxXn5FRZOj1QxsPjNlQ,
JbfzRVF5ZDsdFeLPMt4sFQ,
SKmW7oSHRDJQupR3PWJJcA,
SLNWRpTS3Bv-Z380AC0KaA,
pQ2ywzxbuNR8ftrDWv-Hhw,
K2W00-xNyv6e4l52hMHD_A,
WcKhdyAJd3YIRemYr6pAFA,"
                

    Elite 2009

                

    ’08

                

    ’07

                

    ’06

        "
5-6fH-QQsgGkiQb7l94juw,
iMWvJ11wAcjRZloJps7V2Q,
Lc_zem_4rGzSTXynMNwMXA,
wLK5u5jNkzk8MRfRPDpUtQ,
u2xJPZs8i6yWLmfD1FjdKw,
8tAix5A1UKsFx3htDb8NEA,
HJq8ZuUovuLIpNKu2BfQkw,"
                

    Elite 2012

        "
1JAYOYWVAXqWpqikisJmVw,
Z0MJEIjMF2w9RwCroPAoOQ,
6_f_pFHT0Ga1sUKEvJxN9g,
jfhs6zIJLdqqoVyKAJ8a6Q,
7dJmf73aIvhZ9q5tIz9b8A,
k-QGVW7UP-zR4AleBYrkDg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’14

                

    ’13

        "
xYhXh6q8QkTwe4nhI9cIog,
SDMKxzYHzd-i5vz1b583oA,
-lMsWLJgxtpxu2FkbReFBQ,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

        "
0I6QPVbXAz-Fn72ODOMsAg,
uZPpBi1XL7VEz2eatPwCuQ,
T_3VI611SJ01l2c7rR2-4g,
BOWzUIvWjMIVkeJUjadstQ,
c8giD5F_zIf5PhOX7ciZtw,
CY9WlKW9IX10a98MJOnmWg,
jdW6oXSMHzVJyNVbomm-3Q,
Rs3IanHuPkZK69d26_1Www,
LokWoLvyITJ9Yk2l14m5Pg,
i9P-vlCRXmZLuskI7dZwcA,
Cy7rxWBHmr6dvqTwoyHEdg,
X4q1wVKUl1o9D3pmkBwzCw,
TTVxePaEPvyfur0yz9Zb6w,
KgIxk7bug1xSewjmLeiSCw,
pMqeEgNWZC8WgpnJ8ycYBQ,
u-WB7697nga_AcISODl1CQ,
7zTAViWfXcAngU1ZoxYuEA,
WrbBDiK1Fd3hseYobzhiAg,
o9LqFSXxhblN_ll0B2-p2w,
QuyI5H63xEocElE9DHLyzA,
xvlcFDQoS_nQ1AeRLqAnQg,
pKTMS2pWp_Fjkf9HEt5hiA,
rj80la7KBs_oXP8ghnmXew,
D9dEqmjYw6unvzYEJ-7yYA,
VHHGVtsZiRbMB1hwzK1c7g,
1hvkjevLki8vhujIUbwaLg,
i8BKbinEjSulIxuQj2io6A,
L0XoGskTaHOj1I-G07ck9Q,"
                

    Elite 2018

        "
BvyDLxyPGrvSQKjmABKdWQ,
AzTi7CBsASdGagAk_m77pA,
CzMkw9uYp_5gXb0BnmSEfA,
CUA7L9KRtyW_hDInicFuLg,
IKc5b49m2Vd4QV3RIHqgRA,
TCKB7a3GuKLSocfmqW--WA,
i5PQmiMMrsw5Q6YNpc23eQ,
bJtqGUJ7DSe6H60qr9G6IQ,
TzvHtOhK3IwrFN8G1CweVQ,
uclOHLooqpoI0_4Xk9UNxw,
-D-IchuXXDJ4S7R1B1AUlA,
gU1gMf5am2qeh2E0LG7rtg,
hmuOE2ldrw-3EglRVSn8uQ,
eCHIxfn220nLTBOgYALJ0g,
B_FcG-5osey8_5Nrjlyc8g,
qbAyYhrCcKtkTTxhNzBsFg,
_fi6GP-xdzRL0ef6iG318w,
Q0Z2lhB7fHNNldEhl8l3PA,
PlHwcpgnBywua9_dGZcfhA,
Z8brx-BPYlFgJV7kjbhktQ,
zpWv_-s5AKgdLiGXhc7FiQ,
AjyjpkhcU2IWdgD8VTwN7g,
0st4c8Bk9rhfpr3EdzFtdA,
CAh5NbOuwP4mlq-lxhKdEw,
Ejd-YcAn_wD5dojFjNkw9g,
_Xv-XHXJnjd51wQD9JMPcg,
v4w2HLuHYddod-33rFFwaw,
zdh4PwqryyU5JgCtdb9bLQ,
RaKQoexjD5e5LCHK2YdnCw,
D4gkcr496ycPwXNGeaMTBA,
X-tjMf-2uuiGjrobMgakyg,
0LDdYnBG2WckYYZZKB48sQ,
QCPoSMVUqeoaLlDg_e2OdQ,
lDS6QsH4riHM3rdBtEh30A,
rFk_VHr6wpOiHERxIroogQ,
WbQ8bYppmOnHDgRI80Y8JQ,
4WJmO3S_tQSk51uCBcx7NQ,
CdmwPtFE5m89ddNaucNYVA,
qCXRIJZX2oCL9JiijbCdxg,
cVLMohTlgRss14P2EfYrYA,
WRZlhW90xPyEVnMVqU4nWg,
KS0yb5ZVV6vjiDIwroWw3A,
SKjcfinBrK_3VyKM8KQNmQ,
Hwy8wbmJqHOHbpC6T0UqJQ,
L7MQe9Ri8pk9-jx7lrK53w,
-m0pDn62lB-fmxXQTTVenw,
mG1HRULCcugwMOtq9fFEOQ,
ZhPZHEFkE_iJRjC3GvqoGA,
cHCaqm7TuyQfG1tpSemRjA,
OCX4aiGsaJcaMHuNfFqZ2g,
Cu8v6y9zQgKWkiu5nkoR4A,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

        "
H-hWTQMp46otbTju2KCs5A,
MF_02wgoXnYxm3-cDpzHFw,
EPygW3z6BcMbLFftWSuw4A,
hnQdCCJ5P9--fhid0yYe3w,
cbq49txU2-eb55nf-jYx_A,
Qfa1hJDDrKC4lmUziuXl8w,
uyk-B0x6epmHQjbLcKhSCQ,
CwNqrVDn1fLSuiSLkOfxvw,
IsZXVihc7AB9FL81GF9qTg,
raSgadsI-bQ1YE5wpZxwrQ,
VgNjMHz6zNRrOIcYTt1xgA,
1t2usSPGaJoie8rKhDn5YA,
5UwjjG5vQu7Henuc5ZaqPQ,
Z8tSIFziw_vAQhTNpIWkgA,
PXHCZykdnYxUTArOX8ZLyA,
G2MKHN9mF1mwgWO8jRKttw,
TR-MgxzBPrt2D7YLWTWwPw,
nIPBxT0jvWd71MtapCgcVw,
bU_04I2jZYS4yoF8MIuR9Q,
AyCE9Qj8W5rVs3CK-bI9Bg,
Tyuj67Y5I_laSfOU9LgGIg,
fAmxIkSBv2Kp6erXXnBTYA,
EZXBDH34SVy0SMuhlfgsRw,
8msLvMD95xx5iQwcQMO3Iw,
0BYK52TfxyNw7ctvlKzm5A,
w9ciCqw4Eegg6LrrLs7ibA,
ZZLs9co438dqV2APE2SjAw,
gnxsC6-HTOMdq_Bu5gfdqw,
t2uq9-XJt4TD9STFXefzPg,
3bq0KAXBb_2vKbzcZol-Tg,
pNMHrW_oDaVl6v7qArN-UQ,
a2b9XgDJGb5-bovtkpprZg,
ynrH2ehLyOTJHmMwv44e2A,
TTksqCXFy9mnVqA4nlJSjw,
lkfzIUXAAQrbJExMG2q3IQ,
jiOnSBziZfFGop49RqAkEw,
P274CiMlxZZfUMB3lNSieA,
cTNrc0ko7-FddHdH-dsDyQ,
F76YeRT60MgQdXszj3OIQQ,
EzCmi_7yA1v92BlljPX_pA,
TWC7koCQ9-AsmSyGNWPkfA,
qpjJ9sK86IY6WuOVf3hrUg,
fEwwIDOHvrsxuealuKcqEw,
zkEW5tPJaxC1s3F27pnGVQ,
IAnttX06LVjT7wGb_yFK_w,
HLozqjOdQ9ChPoMXmzHTiA,
ygU1yCbWSM2ASItQgzuOfA,
ZagNWnfgnxoqH2oT66djzg,
7Nr8KBMW4SvLGS-cPK85Ng,
R7qesEEau1sye3oAKtJdPA,
uSG3WpqTTlKLaZ0vF6jCvQ,
FYFcN0Mo-elUDa1AcpGZeg,
b77kJ5Z1z-h-S92f6BX02g,
RFp2Hup9JbzJGtqHByE9GQ,
5mrgpZy0qJLsUhO9x33gdQ,
gl57hdETF7n3IIo6Wz5g1Q,
MRdpx6FNg_F5_M3dZ2yn7g,
cmOpA2DykgIdOLFwGmdJVw,
wxuIfzCJw0JfTVtpwzFJAg,
JpmhMYSmgSkQIYm1JrhZ6A,
-s4QStMnUyQJYDzyXJkWDg,
77ErFGtODUk9-Mbh2WDWNg,
XBAK0J3kr6ZApEzfZdyvSQ,
YRkynAIXilX_iOwOQe9U3w,
AtzXQyKCAqHNYc8LRuxjCQ,
_4p-boZD7OyuBFC9znQX4w,
_Z1BM20u-J_D2zyD9qNwAw,
bfho9yjj_QOxdufZqRcvpA,
OHVhWV8ut37MxxPzw2ZMEg,
A2vL0w4bjPA3tmG7ypb1Eg,
Aehge0hLujPryEl64cD63w,
FH3GgmOeAgXST37jG1-uWg,
YyBiGuIWR0hlEvSczLdrVQ,
MoaF0t7bj9kWeoEdE9CASw,"
                

    Elite 2018

        "
aTcgmKtVGPGmfS3VUYe1Sg,
MtK5OsUG8CvgNNteI8MCIA,
AZ1dylBkQybL1pjpLPEREA,
z00hb6710s8OKihyOe_yZQ,
YJhh9ErV8idWuSleOnxStw,
DUD1RNP_4wqA013SmGeQyA,
go_Xr2CdUQs98idc-NIOOg,
YARyLz8Rhm30fI2YMdF4tA,
QVozNBVBXNkLuyC_c34neg,
H3lEw7K-Ki3WWC5kw04Z9g,
IBGeVHOcF6_mrPwfXCA-OA,
jlW7xjLR7AIoZwM_EvpO7g,
0tCdLOxm_lPsndGMxl77zg,
poj7uFs_gwO3Me8vkqRU2A,
DgvKp-3csjwkacT7ipEl7w,
MTP8EQwI-WQ6AI-ehAn1Cg,
NmxNqmwSgQNeTifffVTYSw,
1UM4Nm5sPesvPGJgb_YrjA,
pHpjPmnlDzR9vMMv_wbbkg,
6AWYTcSqwm3SexGizC3aVA,
Buot1yUpk6bqbIM3YcrW2w,
4_DyJqgEObtjbchVfV2oxw,
aBZRPfZto2m7VOA0wWy4uw,
USYB3Thy4uNb98Kgvkf4uA,
T1PVGuSOEf5KKFlnH9zrfw,
aJNKdmahcv47Sgzq_i34Xg,
Q7rWwCTsZAg_2jwIgkFvGw,
fURsTLyekRAQrpMiFa5Y7w,
ytWoB7LQPm9EcH9kBALh6w,
uJnw1OwZKH5gA21E8SCCNA,
Tj7DUOm3bWFwTfggo951hA,
1ct-V1HMtnaKmxSbMiYTNw,
-z7GDvwMNPrqiDRsBMDxnQ,
8ENfi1Q-nISktcR6wRHGqA,
qarXGHubu9XK-41L3kj93A,
h6TwioKSoHT2jaJx5x9y2A,
qDU_SH1vCBNx-TLQSUowEQ,
sXM9Ngk8GiahlyD66DQPXg,
i69oX19_NdY5sugeakuMLg,
EYPh7h_Gg3P2kNNZGEtt2w,
G3uch6Ik6OfIp2cj3r69DQ,
8g1DJXhbn9rmCfw2vljnDA,
CKRXDj38c09Vsr1PxlKWnA,
qoWWtzfUNyF3MT7nIgoHLw,
z70kgpq8hDeWZHXa_s00EA,
nUT099cAzG1WfIyUMvg1Ww,
K6rw6RrdpVvb2MOS0PGGBw,
Ex_Vd5dtGl25eDfjoiul2Q,
iiR-SA5xx0_uBkAJ4QChiA,
TiDY3UAO12I56nRMEi0H2Q,
3M9qoNMHU6V9jVDoy06gtg,
ohtsKA4ZXB-l31hYAhj4cQ,
5hGLVfe5RpE0PtLlFkJXNg,
laRbw9jQEm-SVAYxKGB2vg,
ljCwbEc8HTWb-oIQTQU9-w,
YonQ5c_gcHYOOfeAImItLg,"
                

    Elite 2017

                

    ’16

                

    ’15

        "
iYPuB4pxxxJ1cnOt5YlUsw,
xRw4HkhKr1MztQ7oJ0l18A,
ncAphBcxaLWTYaHzJa3-Cg,
4GhvDyENLDoAzRMW3dC6dA,
x5dws-Sjo3I3Wfftig3-uw,
v_xlVrNM0Ge4gMzEstB8Gw,
NQWScFO3sBTHS4COzl93sQ,
3ra0JCYsJxBf6wLYk9tpEQ,
kEnJYy_16dXSPNOcAJ_N8Q,
lkUpGswBjo2xMWKlW-IxDg,"
                

    Elite 2018

                

    ’17

                

    ’16

        "
kV_oZHoqdixCBEo5rizdJQ,
1WbVPXr2r0tKZeOGfhEZzQ,
CDEuUJg1oLbFFQ2w0n_LDw,
d8IBrU5o_yiSYWMgZkry9g,
8T52Pqgn61L5lT1f_LrDtw,
wNwiIBJfv2l9tpfyR1wzkQ,
CcqpZkc5ngs88akzQ0rFHg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

        "
7RnHvI5Dg8l_2p-7HrMnqg,
AhXkHJnHPKiNNCFwEa83ew,
He_rVZ8IxEat9anSLBCdPg,
a6Wjbj43frwUVlbRc2xK6g,
KQ7RaoKNV0gY59TUjnuOZA,
DPtE8qREunljGI-Z74BCCA,
CdZiwBiHjqhVpe1CgsCxWg,
itbIFs2JCc2LgLlhqT5UOA,
Cbris3JgCtvaw4WYuTA5KA,
cFRIv048QajSSkVo5yYezA,
N-BdkNyHfYBjP3UH0VHp_w,
tFv-2DCtzE1l2XsuSQc6Rw,
pqxWMSH3cd7EwCn29RGeYw,
R9KiSCETFdBcChm6VuFfaw,
CvP-JR6CkEwAQCnFKNrVww,
eTxAy3OqOe24G5OpcCyM9w,
gjnUoTbvpgsItHG0-VDdfg,
d8o80CjKy_LGQudUk4m_lw,
x9oHEIU1I1Wp8nmwqCPjNA,
grQ7HuQM87nGZGEY_MKWtg,
rqrERBZmjhqspjEzTb4qVw,
msr_XGgka-7KIUT7y4MBYA,
sYpct7VwhYA5ZeGRWAO5pw,
1apbENRqhxPRZI3lCcYVBw,
7BKmbtVpBLFPVXlKdFs4RA,
i4TxibwA-RcJmZ2_zmizbA,
wp8wYmenB0XuvfaxT_Yrwg,
dAKtXt1-kbSm3gaG5PP1Lg,
1Pd19-sQNLXcxjsTay1lww,
vON0plaRBLHI1yAGaRO1dw,
rdEWXRb6EHLKYQfjETHXUg,
gVGEsxDjGit1FGLvg-j87Q,
ucrONUbyYsZURzQwrRO8Ww,
lsrxav44XfKh3X6OTfgL7g,
dcUtFwqjnDa3U9PgcTa-nQ,
i4dBAE-4PBfrfpq367bSWA,
oy9UmyUl6h1fbwoGE7aYiA,
qgJDgswM_pKaiuLA7axNfQ,
_cqrc3YYKv2YHDmPNa8wYw,
R8q13K8nhuf3t4ma12EGCg,
1Ph6PCrA9-NPxGerrLrafA,
N79-EGlZxZxYPpWEqGcqJw,
9LtoiMJ7Gmd8dLUHsKVS6Q,
ZFdWb5ii_kJR-MJDrimeVg,
fttJLm4sa6-C1sa7LcaUSw,
u_IDaI-_cH050rJSXe0d6Q,
ovWkvUcXaRGorKmp4yf-vg,
6rDdovW0Ykm0B6C11CGJ7A,
0Twoigc1-fPlHIzS0ZJ1MQ,
BgoJxsiXvWz8c9Y4V9_aLA,
XV2zUvup1oWkKiB1LweJMQ,
X0o7QVmtB4lLniPNNQKZaw,
0j-23YTLgaS55_t1mTfNGQ,
pulzp74VBxy0vBgV2HWigg,
BY4z6ZdT_sshZO9ik5j48A,
DIWP8gDm3DUj4Iu34QF9Nw,
VDl44uTimDTzChNEDcNK4g,
ilNV1T4yl5Ou9k_EIPyVlQ,
RSWwPuTP9BN6ofiLyqYbyA,
v9qnwQaCnAormqvlCK73CA,
uUop5U2WCuEuaZzzvEuDSA,
ijq4QRbwTbjayig5fiaBUg,
fUifGDFB4e7bgI1vbqugzA,
FLR_xPJM2eqOhaXSvFUrgQ,
3vWGyuIF-VdEGhUYb61Dhg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

        "
_ufg4uvdSe1sSAcGOcfW3Q,
xAjIDY5zeOlskKhtdP6-Qg,
oYFGyF3V4WifT7iq_B7OWg,
