qTpEpA-xpwpcMOa-gHLwqg,
4cv2Gco8_xZ9Nup_RG15iA,
R1qROPgnxzr2FOiG0-z-Rw,
OHN0gplx-vU_yL494oA4lg,"
                

    Elite 2015

        "
2lNFm4lrwxcbYCDE9QwRlw,
kIJzE1iOlRqKM6ZKUXrGMA,
MUSd0VIWF3LMX57MXPb2pA,
IYHzbagkq97RLcJDRa_uZw,
jjJNZYJRk1EHmYF9eY-rag,
tmX3EsKA5G_UMIaMX1gM6A,
IaG7KutZol7OYPptFizz5g,
pbhS1lOo8MJArLthtqgFdA,
wAgk6B3ZFmyxo8Juwa-Ipg,
aDsDYKPPvpwwtR2UJu9ICQ,
kAY-5Xv8X9n6A6vhuIhVsA,
g-WDBCSYdiwOtEHzBrtZ1g,
9Re3qxAJPOoJy1p1Is6-bw,
zqhhn3BCg8g5bqagHl_0Bw,
IISBYKSD3v0da6h8tVoeLw,
_lIbjeGL4Fnd2CVu4kqJ-g,
gs4iLmdKG8RG-U9fRjxtqw,
g8qsblZe68VANjWoef-I6A,
aoex-rolLh4-skHdK2HCgw,
wmxd_Y-ahUisPP9wmo0Wlw,
bebhCVzb_tcPbD0g-rZdXA,
7z_zTe5xHgWQE099u_UJeg,
VtqfdUa4DLMUAmoe4WKhqg,
iBwxipV-Dnnt3o5NV5142w,
cXTq0jYzfNTucBJOpXLJag,
TPsfyJqBCi4V6DVrKWOEaw,
_grfjubVF9bvDy0KhYzwNw,
LtGpdyLu8TwgcBHktuUtPg,
OdKt3slCtdq-kzYTi_v9SA,
4-Zowf6zedujMju01VQ73Q,
0DHPgd3ErtXmQWxzdJmTuw,
4FNxAXiUEwfKswvEBsNgrA,
2oWR-OypIvHBjh1udyWd1w,
a1SsfoMprK9HBRHqPHfJNw,
vu2Z-086hfYG9reygyAigw,
IPh2fw_cL_MK8c7ezmbAnw,
Mc2LbM6qA2YuR37miBtgqg,
n4kGfjhyokrn_H0lebN5pw,
MSnqb8Odrr8v96NfoYq9rQ,
gaaclGW_JWaNKw-wkVhtKQ,
qXCcdM7891uYtFDdElw2gQ,
eCY0J5BnYz1sPOa2p84AHQ,
5avk-VCo_6Bx65ct1cryPw,
V-vT4BZnm1gd5H2MozfyaA,
e0eSpD5TJzQJwWYHJNdgfQ,
qHKVgbSxqvsBSHKvtzBpdw,
puQNKuJbdSNLpokAQ5KWPQ,
OYVJRbBn2Vo40jPayO0G_Q,
08zjUHKICCxwZneLHIv34A,
k9awKzlbhfFqcF8uxF_3EA,
ehDV0Ucm8tR1eSazZybz-A,
JGfWnTP-MWjEe4Cqdb2ocg,
gsiDC0YNY_UXzWd7HIpAUg,
C_o9kFqQAbgApBXTfM7n1A,
YHxvL05RZca0Hox5HqrX7A,
Kpcl7SqwDKJp0dg5L3VeUQ,
WZP3VvatwHHlG4DlpXbsTQ,
EdeU5_gbHILfNOUVE12XPg,
g8m0vn5ozCBjAIxlJr7Gzg,
LAhsFp-_JfI8WUGBPVGLtw,
M5WgW6XYNu3U1oktXfZTcQ,
hazfoCmS9RXaxGzNpZq98g,
KvdyxL3c1OomkTKdJyZ0sQ,
7tRsZij-QCvnz3axQNrnMw,
eaNo1cbU00gm1yTM_3gv-g,
rd1NTjJmpyGY9f-ItokFdw,
Ai15I771zNduDPGN7q6P4A,
RmSo28yDhSAjT-WaYCaALQ,
yZMmS_gUERky-Tf0jkGODQ,
Q6HrvzILF86BedMBPJ5rrQ,
jCn-gVe76aYz7mjtAY_wWA,
TGxR7hemTlBLvbHl2JUX1g,
t_Oltsi-CapyHmRpdtCURw,
Xef3-k9xDf5k4NqZNkG-mg,
brgJCV_w24R-2LfsygtHFg,
lN9s3ho2cBWcssbnIatmwA,
7oGls0xjdCJQhjUj8ZufCA,
3Q3aDAZ6IUK-Kx-8S3TD3A,
mf2HVqY1GGpUEX4nYho4LQ,
gcmRomXR8BKMEF8TFBFlVw,
G-hk9HeaV47C3hTUkkmscQ,
gclE_GCMgfD1dhupqLjRkg,
23b7mEnxyLbPsDKNY7J40A,
S45BOOUbLgpS4BIjQ8pT1Q,
kpnlOmS18osjEK14YpJi8g,
RR0VZS6LQpZPsZIqkZol5A,
Ug7loNO52CH_yyySXbHWbw,
fPLx5zghEBxJBXPVj1m9sg,
acVqdutHjLgjFVk25NLcLA,
0P4YgcbTJkExvrUUY9ImXQ,
4PygvO5Ndl7a2zHT48Z6gA,
a4nPov1lIPu8bdAqB7ldUA,
uFp25snQchr0HH5CPvBFsw,
VZ1d610L6n__JzBF27WvHQ,
mUsu5DwIt13VigxiFyw_5A,
Mk_dFDAiz2150RIeg8N0bw,"
                

    Elite 2017

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

                

    ’10

                

    ’09

                

    ’08

                
                    
    
        
    

                    
                        1 more year as an Elite
                    
                
        "
H_pltRJo9-xzo4Zug8-6LA,
-7eI-72jLWeG9fTh7gcdJA,
PqfpVLM2ktdHmo38oLKj7Q,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

        "
wbWWKIA06MYwnbe8fri_iQ,
gCf5ylmdZNrMeySF9z94JA,
1b-J8f6jfF8_LLuxv_H9MA,
Bk8Yf0nVYe5OYltxiYEOjA,
dBgGl2xcT3JlSNuDitXc7A,
WsyLeJWAPEJWzMRhyBTlvg,
zyXSK04TBC9GR7KNSns1zw,
cJJggI5N9gnb2L8bS5Obow,
THKGtjPhgQXl92f2h3BC6A,
eNXcEbnAs6A9anEk9YlBbA,
76QtkNcGa9TZMb1c2PliPQ,
5Q-gQdK0kiK7GF905w8tMw,
JmAXszDbX-dLfNkEQskZgA,
qGmHJTURmvMNfqQYFho8rQ,
1KP6EAPQY7cFagH_iTdUQQ,
kkGMseJerkAHjUHq2wAPcQ,
4zl0y-JGhPqwUgI7fUHGoQ,
9nAZpZQMedVx7G-iDi5YPQ,
MUFP_QgHQTdyKoHEDfVdsQ,
oNNh80A-N5N819dSc-PZfQ,
2NuO5zzjqAD9KQYDqSr6BQ,
HAcDGJoBYZzzZzU5AxPcYQ,
JviWNINktdlfqMDPq4naFg,
KoVuH9boYfAYfrwRpp6qxA,
FWlR2DgJvq3Gb6QV3dfa8A,
tM9xxhGkPumnKzIz8j_RjA,
aS0boZ-Cp8JkF7G6zhLS7Q,
4kKSAR15jwrrWS0vJNlK5A,
OD7hXF8pSvpxR0Sq_-2_wQ,
tpxuRVIqGwOQQD5nwVlkcg,
Skire-i6VAHmdMJnHiYnuw,
TKJWMo02q8HaM8p-ZEP5wg,
aKVHg9N08WGaNSToDpYCKA,
NgFJKv5s7lcCLT_-DEjyBw,
ComZPZdI8z1hmDpRHpc3sw,
ijUtWfkhFvH60nfzkt8RFQ,
Xk4JiyqFehnr42mAMDQG7w,
BoidryMpNwG1QCRdVhBVTA,
DTZu_5aL69W0AJtPS_UK5Q,"
                

    Elite 2019

                

    ’18

                

    ’17

        "
PBhEf8OggE5xYpmbPHVSrw,
VotYEpQx6P888WbKjBy_jQ,
8QPpix15vKdAQh3T-K0j8w,
aq1v8PLMjqezZeHkiO0GUQ,
MwrpsIDIj2OmMC79fjNojQ,
7pnnAR-XE_kI-6s0YBgbqQ,
9DvQKAfeTIaNentaOhGbuw,
yDB3ZW252e-zMt9XzXbE8A,
yTox__OHD3E7stwcxSSczw,
hMpw-eTOhuPB1Ue08snJcw,
DjUtvqp_Vi4kU6CA7Q9JEg,"
                

    Elite 2010

        "
86A__7-8zBDmziQmyQKELA,
xzzEiFPKEUiXb0f4oMBvwA,
wqAYte5eNaCbeos9zHyg5Q,
StBsjNAFk_gqwO3ixpoqYQ,
AS--mkrNvpDKo_iG-5WrZg,
sw9rYtaIH948_LZl0QCkNg,
tWhFDz7mo9Jtj08xO7AFVQ,
0xjq8TUTrlL1KaVRNwYJ5g,
TmwEj8VxBiAPNCBJR40QMQ,
R9d0Loy9Vp5-CujwUuqAfw,
d7uvBas9ITf-leoGesLdJQ,
Ze72uP8kWLjI4DxMdJx5qg,
c0QQDbIJQ_MageLhamQhNw,
BF1MjvqWvABuiQ1CFBu4Jg,
eonKcHbaU4XDoyr_4hTF7w,
7Yxf0B4N9Mi0HBjeH0UF3w,
mC0i2hiLFofh-7E_WDiC3w,
tYjI8jXm2IyH8DQNngvmfw,
2k28ePSghx0oF1voz8Kp5w,
iaVY4J8cjfYsFyfYwapVZA,
ux6YGOX9LSvZHxsMQvY3mw,
QalifLGXwD5x5ViIDz6KPg,
mBR9JlSej6CONeY1lVtdAg,
xIv2kN1EZ-zwJ-Rd7a7bEQ,
iQYgCCuoAdUDOEwfMZi0hg,
yb7NgF6pF2p32-r_LTUN8A,
3LY2nq787h075EEbWJ_3tA,
guyiP6JKEcnxIAF7_eDQdg,
dPBO9z7-SfzWCwULzO0oTQ,
GarKuoIGiTM3QWoxQKo4Xw,
QxRMGVjelZjQ4pUGW4Z76Q,
ECtTZmoS9kmXue_U1R25gQ,
RqOpqT7GoAIJRLjkQ2bT0w,
DRnfWAZzdobiPK6jfg4jjw,
2gPzsy5--afCj6HXuatkWQ,
kpg9Mvy7TSOWG0kgVAQW9g,
wTOCYvB5VLsuok4GhRlHsw,
-rxU1ICYIj1gnuPi86-_fA,
oL9liEPo5dtpEiV57aPhDQ,
2_9Mguy-DA-oDO0ZUmnapA,
s6ywcgeDV789IKlAyU8isw,
odzhyd8-DBZvQO9EgvxR3A,
KhWoGs9grC0lufGRXQiBog,
f6EOq0AVeEyb7j8qN9wQxw,
iTvcfy-G0UXFWSL-XeigdA,
WQmuV_SWEoRSwDSGW705_Q,
FdpTM6SMTJd4YvVBEblomw,
yYFzxfI8nCPJ0m_xhdRSXA,
-I06GYjCQVtdCvqP9-CgVQ,
ZOQ6TSn1Xovy9ux-IuT6mw,
okD5pDpHMOV8d5KiHsmL8g,
8Xl4p6LbUItuEfwAhKi3LQ,
Zqs4ZBr8C2AVMlH1vxT9Fw,
VeL2SxFm_NP59-9zNylWCg,
B1_bOTczVSmMhKeBhdjevw,
bMBf5UqVRUXTNpVIeedTTg,
I3vltNW5zh1uQFauKd6s2w,
6WReKJWbOjH-L4-pptRrfg,
m_0cDaFgKc69KvAFut5RjA,
TIOYfS6ba-NMoNERie-5SQ,
sghcigyHdLYXxSlMKDONtA,
AkN-wwRLjavoFAs-lX5uNg,
YnPjInIlq4_wOeFzv_Xstw,
cpUtU-PM2Tx3Q6O1GzAZpA,
Ec0Nh_77b8Rdwj2QlGunRg,
1PsVcTeoO9rWM4YRPeacRw,
QkPLK56RYZGawv7qn_eyaA,
E9WL6GHyMBpkNGAN0Esx6Q,
_lXKiGmdpIHBAhnk1OqRng,
NrVKunAGtSxcgqgxfk8SUA,
X2KHd_jY66BjvuSgPt_a_w,
lxoENS9NkK8aqipnLK4nmw,
Lv8lBe1YWwbZ-sMiLvUYEQ,
VsJo6gvA6IWwQdibb1FMbw,
-u9fT7yOWC8F8sxOn5H4Jw,
U5ZHlyPzAbMg7jtjY7Srpw,
yejTUcY9oaa7Y412EoHMSw,
YyFyZUbWmUengUVAPFGmBg,
itdYeVBWEmBRS4qUyB1e8w,
oX-S97yNAZOvVAI2V9GEqw,
4q8tkbBfIX6ierDDhJGj9Q,
-LC3rTGnK2-8rp3ahSUing,
fwU-6Mj76PdYPV8r95PDbA,
eiJxZS-t9Qfnuuc_HhJ5tA,
dSQ-4nFomUhb6ZaEchBwyw,
ahUf-A1AeYk6ZEquGJBSXg,
q_H3YUsAgXBNTb2Wa3Ctsw,
f9etvXBlPuxxXRmy1t-dvw,
0fDhOqL8NWyJ4t1ln7VQ7g,
kOgR3m7qi_m1jx3bR7Av_w,
-T6RmcLblZreRFmKQ7SP-w,
75ZijFKh9c2dqZdpSEtf7g,
WECMJ1TiXPGrdxY4LXWghA,
SeHuFbzKcNW0AqNnC9AXKQ,
mjqnuXAfHNRJ6pZGw730Ig,
Kg20BO5aCG92tK3PtoWyzA,
K5m9-V8wKl7nVYmyQSV8CA,
Re_4g6DCkPRHaHXO5NrRfA,
Eyfsa--4CYGre9hquOZY_w,
U5YzosNh7ZJs-9EHa96y9w,
Nqt4HaNBekM51YGXmlOrhQ,
RQxY_QHaJt05rbSGGwkWYA,
cUgjhjh4ojPRm6guzC55DA,
bes7ts_1_6wBRsUGILKzBg,
22YLWF6DrCIxXKXJMNDK6w,
FPgl-TPHW_r1Ji-jqVEK5Q,
FVP8Y5-OznWzfPHpKtBukQ,
rDNbh889N7wkwVI0GxDiUA,
zghzLrlZ8k6w3-k-DUrr-Q,
mr-a4xggR_41ejM1efemvw,
wgio-p7zCo8M_uqoQTxOoQ,
ZajIvvSDcS7f1gsUcvJYiA,"
                

    Elite 2019

                

    ’18

                

    ’17

        "
UC4vIvPxFFQC8WQowlzu2g,
Tf_aIWJezl7wtpjTn3JZfw,
cwK6c_vl2J-V_86bZVmHXg,
zu6IpmuI8o9QKJt9Zrskug,
h5JhFePfScrAYP6rjd7dJQ,
Do0qD8TWdAs74Ugcf9DA8w,
HxS7WMLZrUxosxDSUPocNg,
zPz4Tfzu9y0iTvNvqpnVRA,
kX3dVKJFtBYXXZ-hPRYh_Q,
-7Jjfc7F2YL1xlFfYH2bww,
ZdOfW5kLXGPT-zvJNsguBw,
izxb62xGXxtyC88aai4rhA,
jvwKCJSPEvOKXZ4P_vy-kg,
jMwUzRlV7wcNPQflWaNkvg,
HD8ARp0b13LlpOm7ZI1p2g,
sOmrqAb2p9rzc_WYPh95kg,
bNoF2XL0GafvBnFqyEQZRQ,
YZ58gctRMDEpd2UFFfmTJw,
dc2Zxr7iltiMg7Xah5Lx3Q,
QAemQjRSrsdECVAV66Ikkg,
fliK8fJ0ayl09NPIoCxaaw,
RZLYlvf5rR29VTNTEc5qcw,
nO3p6Ad1-sO1xdERtOhttg,
SvMj_0kqTZi_lkTsVZeufg,
xZaJssA8j5dIYHKDorz6hA,
KChvZoLXPtRI6TbZIcQKgw,
WuYsvn4WLV2WnyHaoodkyQ,
2kT_e78K7XEvWHIuSk7kZQ,
lTDmp5UCYJDu7t9lV6WnJg,
sMLItXSQ27mZIVicxkPnhw,
YOVcHgaBDhTWo5FJgYEzZw,
SjIsuBM9FeV-0qczezdTxg,
PWJ0G4QY3XOYGf-_GX4OLg,
KSrmercmTtmZSo1UeYXKGw,
ZFN90Y_IaZwYX7l0F_ODog,
RMrWegRjr3gn_g7fOLxHRA,"
                

    Elite 2012

                

    ’11

                

    ’10

        "
KZFzcTqETO2nWgl8A57cmg,
JNMQag1YHY1sv-91IchWrw,
vIvTg9XQZbmqkSu2rU1bBQ,
aB_6yb89525QLkkZZUxeWA,
FVcp_T4hKbAmh_IB6tNUPg,
FFhrYcRlZah-aFYpvx_BxA,
CG9NWTAEVdaJhRDSSk0Lyw,
ur0XNWeGpuhQTsd1wvHuyg,
cOYEI00pDnlE5QEZL__HeQ,
ZkFwmjd91IMuH5Xj-_UxtA,
V7iPa_XHF43M_LZKk6C2sA,
f3mjEpi71idFWGBjMMglAg,
NIGS8M6jP2zGOmq5VU2OsA,
NEpRRdK0vgo5eL3F8peFAQ,"
                

    Elite 2017

                

    ’16

                

    ’15

                

    ’14

                

    ’13

        "
UahJo4_h90meEc8gs4Nf0w,
tkChS2NIsqx-q8oOYb8bkQ,
HWhhrOawBPtWsv7sC1gV9Q,
28yNtL4tjscroWfTgChrCA,
i09NKZkEgg9IS4qh7tcbpg,
2yeWJro47nq_ji117-5qmQ,
S-t9scozr1qkCMRYLtSKsg,
MWxtO33T4WdOmuzIaSQijA,
YkQbsD7wn56l5SN1ivPVCQ,
3U486-6hEMMesbR8csLlDw,
0s8Us5jXIYb5peOsxAU4kg,
jD1lDC5zxG1vLI7E_FkmGA,
BsNbVynDq3cKW9w5aB_zSg,
VQwGe6v4yIz-1YeU6uNuIg,
sWGUa98bQJ1BtCTMW9ajcg,
UPVISBbF95QuCFCFHwEt2A,
9l_pyawd7RqF_m3jO3MQ0w,
eU6HlQG6gwf00HXjplRk0g,
QGopqJKMVltyaW1eVtvabA,
XMDloWUn24OOx9bk7AeICQ,
NiT-TFAhIUOaQmBsmz-WdQ,
8lTkFjFErKWXhvkiHaCOrg,
V4MBpuRsUeXSZxvxR4envg,
KF-BWGhv7LPOvBxVWmEIVQ,
zPZCDs4-1EhArY4VTbO8zA,
6C7ySP2wVgWVeTyUpiP-AA,
vsHWi_7Rl7J57t7-rLlUcA,
fe6L01eiWgfm6OwRyBwIcQ,
yZ2PO1IA6LsK-kpnNvJz5A,
7eoEh0yu3Pt67nSFASw3ZA,
vCyoi6K8bfTml4Bs7elqRg,
XVDPHIAIg5tbLe1i8PqTKQ,
SjP_XeVzuoFIaFDZwOlD1Q,
t35vbU9Y3pHi8EmGa8eF1A,
