gWwuhnuZgRvlyeXpufRHEg,
WPhYhIx047LXL7WqmYjwvA,
bBnP8gA3A7JdcdBrtKta7g,
GMvrYEjsgnHSNI1wHMHX_w,
DSLEbu0zIXjH8tnoyK-CaA,
ipcSn4jYKpILjFGksedUgw,
UaYLMeoWSBjWwmZGwZ-nlQ,"
                

    Elite 2019

        "
m-wpcNts3rRspVWTyiajwg,
hUTnmW9QkmnjzQlpcV-4Ew,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

        "
TtcKl-FoQoigBXmEexsSOQ,
_uYs_9XjxY8D9Qc6NiFd5Q,
REB1xirq9q-ZlaJ3ewa0EQ,
7p6kcbJTjMXM1R9M_EMD-Q,
4DpCVJo18MKqhh4nerTG6w,
vkN4c9FzxSuDX2H1061XtQ,
neWHwJ2I6_U57UyETid7TQ,
k0vNl-uuVv40eJ2ESVXd8w,
9wp0901PNMr3HRZB-UbZdg,
ZwmA-3nTRyabtHe2u_H4oA,
RHqKR5Kk1mDJprIPPJvWrw,
jpYR95Z5ugC7P5yvPJ-PMw,
anawv-ETzDV_FnWWIxV0GA,
PuTbqJ72PbBHepPnzBN-0g,
R0zCjFD3m5CfjApWWLw1Vg,
gDRVJbZAjyA4BShJZYT27w,
c_bGKGoWgqGqwEE3kzsb8A,
OaJ6DcKAhubrGHhxMpm1cg,
XeSYwSZsjDhby5bgU5MLtQ,
1kLC-eX2YSLi3b1NyxGFlQ,
F2R-WQ_mIDpnfePkMLo8jg,
25BFKEY3QupE5c9pQ_matw,
Sz-FsPuWlDhuJsdORjWADQ,
BGE0jZDsXX5vKX6J0dJGTg,
PZ1CEE06BxQOUJhiI2c2ZA,
_or-AIW_L0udnCbHCclfig,
wg26Imw3yH8ZjMOJmViO5g,
Gf4Jh-UXdc_oL17Ywm7FeA,
plQxBc4xduWzRb-h8Eg9wA,
t8CH4boYh6xPEP1VbTLizA,
rEnIJ_nLHoKCKokVVNM2Sg,
AxPJlSxkCJVJk3sSTL_8OA,
keeeGF2L85ac7KvzZmccSA,
aXJRStanjVmm2w12HIYAOQ,
8Aeszfb2cFLr-p1MTRbgkA,
FJhsIT1IFAhl3CS7opRh3w,
9UxSdJnx5VDsPYkwoUl6Yw,
6GQOSwqwqsjsX15tmEz3wA,"
                

    Elite 2017

                

    ’16

                

    ’15

        "
DC02W5COI79KM-JVPe_nYw,
6DUwQmKWgigVWcGSIliNxw,
T2fQ3Zukg6dY8LjrkCKZVg,
mj_cHNixBgkALBV6PhhHKQ,
diuEZyjI3el3dn7VaDzxbA,
RL0gJHiFLQpIqwgB4Q157w,
-Oie56SGK0UeTV0J69Ixuw,"
                

    Elite 2020

                

    ’19

                

    ’18

        "
DuNVTnFdXLIgwV-cfU_a5Q,
94fCpB_zc2De5Ys53UUcjw,
GQVccLUh_Ucr93CpQoJGQg,
C0LAOCBhjhoR2oyrFSTd0Q,
cVPh4fAOiSHp9_LkosvizA,
-6XRrC2UM5pM1n2_SR7AWw,
ovaQcYvj7rZkQzsuyO2_dw,
5ngAgX0LkplT4oWTDkMWBw,
bUJ5p6RYL6iO41iJqVQOqA,
ECq6DAj7wG6ub2z9_GIZZg,
1eM183m6S0b_jqpnUYaJKg,
96M5D3dJWocwQypX7UO7Lw,
K0qrMONZx38CJBLiX2wv3w,
5ffIxFlAFirTl00-9sedgg,
AJsUZ3JC1776xrMuXF-6rg,
KnpI1fDE3Ayj6TJa-G4pMw,
MVmUCrs4hO1Q86SKh4YhFA,
j7U1uYDQnsHHDhxqpUumTQ,
dwZa4ywgXoMrWDFF_JNN8g,
6DYGDiU_eqE9WH6aFHfFIQ,
0q7ufILEtYXua8wzWIPHaw,
XZLZTq5pwIpwuEZR34kzRA,
dK0Z7B1b1V-wutkhTorxuQ,
30ETFkFMSOA-ZvJDNTq1Fw,
AJk1YpuToeRRcIIfDKR33w,
vVDgxp44O9I0q5IsTIe_cw,
qnvwWqxPWmrFwCO2yhHnDw,
HaXfwbT9L9ztdzUTZwocIA,
G1ZYk8e7KlduEMVgI7--MA,
_StO7L8B0BSUTc4YB2jwew,"
                

    Elite 2017

                

    ’13

                

    ’12

                

    ’11

                

    ’10

                

    ’09

        "
NgvLMhKbQAsA28gSo_P9wA,
hZAWWHpPK0I3a78DKXuULQ,
bgA8Mh51sm9mi79-TyZ9rA,
PZjVMYo3NGAn9Fns1CqnXQ,
Uns08EMM3lKvpDfG1L4f4g,
iEnGbSWZ1RAiYLRIsjJNQQ,
z4qBhpdy8cip9SUxPdLmTw,
Z5HOoV3dDLVtbIskqVwwQA,
tObbW3-A1RNqIr_-hXTrKQ,
R5ucPirB5ZBeTjT0bJwv2A,
L_WhHPRKXC4xj4C9T-6Ypg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

        "
LibxncVu-93WDsL2EuD_rg,
3gKmQ_ynki1rZD8ln8o3SA,
KeJqunnvArQVLKPBQsqAsw,
sCT5fMELETO-3JYS4GHEYg,
PA2xRej4I0v68APr13v2ZQ,
J6vgd_bWhU_KebPY_Q-4Yg,
2gKXHvtAnnKHOgdaD_WahQ,
_xHa0tfQ-q5awROXR1g0ng,
EcqPTSjicRcXDV_QIjtDeA,
-7aly-FZe1JVLbxlLgndFA,
SZWbokk73_VdX1l9iTf3jw,
QFWVSSPbMOk-PN0bdG3lMg,
-5sW9sUhITXicGH9sL1x4w,
vZhMHr4Nm1mlEb5e6Nw9BA,
uJWbrtCsZibgPJ3s3vB-Yw,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

        "
pLkNiIIQDHVNxZgglZv97Q,
srr_6LZB5pnUtgwizFkBnQ,
Tk1P6pZsjez4RYuRF9qYhQ,
75CgsAmBZLa3XqXxwoI7AQ,
J50dJCLbJmAspqeVQ_aIBQ,
AGvXyUcnzivQfCrEImZB2Q,
oGJgVmnjEos0TpXcLDMiGA,
HJO04FSs6pAIZ2zCGPAiLg,
72Najo5zeiGTcqjvNX9puw,
oLnPuAFVXo5aPSqTh5-XEg,
PiShcvhPz6Llqu6d8_0nQA,
qZZNJA-Mry1UR3b8ypJTmg,
dlTLjPUiQmt-37mDZA8aPQ,
f3zkx7pjkjFNvX1fK9RwyA,
hpIVJEHVxUHSVBNSTyA43g,
4FGlPnlznSBIPTsv6xNMgA,
H3Eq5SrRwLsPGGfpopjcDg,
VBHzeLCIWpLKGlKfb6oFAQ,
F_m3wh-2W4fSpbv53H3_rQ,
_GB04_PpA10tE502CmYCOA,
tVOzsMyhLE1sGpF2jEVbhw,
4kojMrGkoSONxoK_GvnArg,
8E_ChP9pHXzi5ZqLkxZnmA,
ZM0bkkLNtP9YNyRJIuW4aw,
0Rl1Gx5eUmGOJQSh7cziTg,
4L9V5zP6lVNn9AUwvPaYeg,
5S7XuuJrFDWvTel5qkSoPA,
MYQCMPibYs_SEuNuM8twuQ,
x7QbfScuDyahTuabYfgglA,
9cha2ojDjaXsD3iZ5oUlzQ,
L00tjn-Ts_rIRcQM2HjqWQ,
ADBWoYNjMOcNA-d-f9HqLA,
CXN0Muz6_mmewGDkQyfzww,
txDFLyWYWU3t7CrldRVYug,
g7p0elV0LrXePkyMsPmekQ,
IXkmwrji8y5ejwCffzRaHQ,
jpJiKooduXpBXrG8ETfpSA,
yKyWYcrae_KjnIazsBMx_Q,
IdGVrLfrwwzMwj5fcLdNdw,
i388xqMLW-CnuP_VMaMnwQ,"
                

    Elite 2010

                

    ’09

                

    ’08

                

    ’07

        "
-J5BkAIcL5513MC3oO6rWg,
9PqbnHHPKQ7rCqfrA5lJRQ,
KOHyYz2SoOVpSUHutJVZBw,
CbW4YKGWXd0YwrSjf_IW-g,
dy7kuC1yo9sPeKnBXMrKQw,
02BG_UtPp-BGJ91LdH1YGQ,
jgyDVY79crx2AkDtG6v20w,
XtHLD11D1qvqPmUTDGclhA,
hpXUzSPuYQ3E1QwT_9OkyQ,
zRHMbZziH8Tw4KZHhp2vEQ,
ld7NzxWXj_uJSfWRzAl4yA,
kHrTcAfI8z4vVEXrxXLH6Q,
gOmyBBK-oJVrycYEQdiLqg,
Zl5iaAZMjL5M7vAX-jPzBw,
saGRxbLpRL1J-bnMEzWfHg,
qeiQD0eMerCmTHWrRkZdzw,
WSfARjWHKyNu9B38TDsWWA,
UJUtu8yquc-N88Xm_n1zVw,
jZFLKJ4SDD-yrRdxaYpmtw,
bE7y-PVHGzAaWOX_fq4Ulg,
P-NnVzmXPXEnJ2W12olgCA,
CrOLsMfZmPaMviu2bxg4Aw,"
                

    Elite 2018

                

    ’17

        "
CAnlXTGmhrRVFYfETuTtPA,
N7YNYkyshwcaERLjIHguZQ,
yihsRLDbJN_cYH59NUAhPg,
o7sR0oYEAnAuHR1UiaEeqQ,
4FXE9qM99cB5zARDbQmIvw,
Z1tj7hf5cNIcBfYgr6j2Cw,
Y6raloex3RRsXTxtAiwRNg,
PL4xXvK79CGFrHYbAYbeAA,
c20CSFktkND_d3ADp63zvQ,
G60tFRF84kx7b-slQaaKrQ,
KeS_qFzbn6jtrXEirCaNLg,
4XXlI6yO1FArm0MnApQ0Sg,
036rHynhvbsBTXaA22BkDg,
fBYeSk_FXMB1vVjBdcB2CQ,
EdG-vr8ZTCf0BvrZy122yw,
fjub9FAm7WIRBj85KkT-1g,
Tlq-mrvQYTTZn9kLS2N1Xg,
WuzjqiZxi7NqJWJpgX9l9w,
aXjgC49L8oxpllvZdTOeaw,
bNcbaMPHkVbpyNsIyzP0Fg,
v2zE9cir6e-giJTts2Tn7Q,
huuvry5CI4eYQk_MXLE5DA,
3yd4z70E9Sf91MoKSJw73g,
5pLk-E25J6ttZkTJdBR0GQ,
9p6_FVYTjzeVaDfgxevK4Q,
BJsxOdyf1vD-i2LFCWm2eg,
eLw7QxjXCJ2nD6kRIuOTvw,
DDEOCaypklYTk3twcPWfsA,
N36DbObvWQtIKwOGdK4IRg,
B2PjShqvB_Bdqpt_qIzb6g,
Ijs62Rlq8fbvhzw2jn6sVA,
hF9m5cVBtCWZ0SR894lMyQ,
Zcy_ImxjN88vKejDItb3hg,
UoWf6C4gSJ6pzePFYiREGA,
c2QXJGN7go6-FbtSTAb6Tw,
HPDe3RfEp5uMl5tmQzratA,
y9K_GtcxLj75hcvYj6POjA,
5Y-pnLhYaL5_j2N0aroJEA,
hCEG5nf6XXKsGtgqAWpGug,
2bdV4fLK6TdABgcEy3VGMg,
qJjX1iMcp5xWsYrdfgJxZw,
mckWBl1QqzA8QpuJqWntfA,
gL_GJi3kXTu_9eKGOnKCSQ,
IyM7lF66f38aBEsDMEcjgg,
ISu4R8dF6WjKVaz9TsI0iw,
giPWdNmT14uLlKL7nahHdQ,
o7H0BOdjWAv4eqNWvkhVvg,
dmoLN6XYJMysaFi-jHxisg,
5la_NNF-0TVABCsy67bRhw,
-WLidwUFwcFa7svUASoNuw,
vB-UngaUdZp4vU6IcRJdYw,
KZy1wc5PMpex6v8JjCfkEQ,
vAPbhe_492S_HFH6TnqCtA,
CwQ7u42occvFbtm0FbMHLA,"
                

    Elite 2015

                

    ’14

        "
NhtRhdABJbOQPOXCfvWsig,
3Vma92vn89VTJW6x4tvBtA,
NbxZd0J8kwljjV0nLBgQQQ,
DJTuwfZVbkd6PSashDXjdQ,
ikWLWkpT2BdaxMXbMuOPLg,
VOF4vzpQVyamuwmenrMkxg,
bRG8MGf1_F2RrquxNp6gmw,
niU1ZQniPBPF7o-VSMb0rw,
8Nvaw76hBnYxckhm8AkPvg,
MhvzWBbxweFN7IR8LsJmKA,
NrZl86YisG9NGYo7zYJHIQ,
NN7Ut6wm5lX6fns9IZilXQ,
grQsGs6nIYZy5ts9dvSUgw,
2D5mWrp_2drTf-7ilwjJuw,
mGkDsUO9vNYP9FPu-65c0w,
w22gMw0GK2I6tjJGSUkNgA,
aW6oC_3nwQaidrKhzlQeng,
QYDTxha9NwF4H0Ng4Yl4GA,
b_Tc9UUXwgijyzDNCVhvhg,
p5VCIVrSq3B8G2RZt8OAKQ,
yeF19DjZVVHOiov4BGsBAw,
aiPQyU44GyfRZTiCVRZ2PA,
4Cv9G8xd8nmfqrnwPDubjQ,
k68uc58yCIf5t-nJbqUu-w,
zL0iOqUcZMqL5736SEoxIg,
yNAZ5pwGqG0wbWh1p2IMLw,
uGhOUGMi2DdQy6C2v8FLgw,
0WabE7ON2Ueyc8NCplPz4Q,
CpNNnR1JLvakS9SiQWHg9A,
jTufNy76ft3YzMunUq1GcA,
Cj2UGtaGe-4OtvIlzkaqtg,
JlCGKDkEiNyDfYqrU7GFVg,
btXz9yq-5vhE8MPhInscuQ,
mTcoc9URsp6rny6tnM40Hw,
Q4cbzyz2uzxNGz5x6ZUe7w,
c6Xf9iu_0_8wUTh3kITKUA,
XcZEViBZTWlyoGF2T2U01Q,
XsU-52elef5jjID2UhNHSQ,
KMCSUP2Onc6Cjziii2pmNA,"
                

    Elite 2019

                

    ’18

        "
5d1ST1lE_LGIECCmi7GFlA,
7SNUdqAo92lCaBlKfP37yQ,
6ZlKBWEt4q4DZJZwgl4uZQ,
Bdk_7Tvhiph-1Nwuf9KBjw,
GA6U9pJUUkCPuRF1xl5yww,
kddFMjZTWulkLsHCKo3lzw,
P2Wl2BZg4e4Lj0C1utYM0Q,
D4JbitlWQnWDWQSDX0HMtA,
YZWUNi1bvZ-vgVdcoJ-6tw,
ueUE6F8FEbF1hiBDQBMimQ,
vbErQIJ__9-3aSzyvnpyXQ,
qwgD9O6Gbec09wfkbjU3ZA,
YggEv5Y7umsWbOm-ThCjVA,
NU-76xHjlUAPFuNgNhdhyA,
kJiQtWKslJguUjhpGgwe-Q,
-DZ9IJvoLyNO-g9DM4sqng,
f-r8cvrQ26QqA9y1qjrcYA,
3L6nOmHADyygtVfLKrgDOg,
TY7Gu7Im62NKqQNRVkx7GQ,
h9ulQ50W2bts7_8hSsY_Vw,"
                

    Elite 2020

        "
2G7435T9KyDE-JK7U13lSA,
LCC8ZXqdwjBBAuwxHjzWmw,
Znw8_3uE_wJTcWR4PGaWyA,
-4k6_daQLOrJqO68LqFdYA,"
                

    Elite 2016

                

    ’15

                

    ’14

                

    ’13

        "
EG9fgxuYZzRiUyEUqY_aSQ,
o5k6Su1z8jlB1qbWGCcNUQ,
n6Zy0FtVwRc7q1yNfMuA5A,
icINTF8OAdeL9-Bm2j9EEw,
tAGmSo7OMmepf5zoXAjygg,
3RsoL2gsOL8tphiMYNKn7Q,
DE_asBNHxsQgUlTCrCVBHA,
dvxKhNqdpAVYBaMLQ3CPGg,
JCKbcUWpIULSy7Jl5tW15w,
JN38R0Wt-NTHHxYG4slIyw,
wsLXRTmkSZhvQ7eWFYklww,
ZN2A_6OI5euUOSQkdbP4QQ,
ZTneb8_fx4cs7X6GA9nezg,
mN4TWg0NdBB9OncSckjAgA,
xqlG7Lih69btQ4DG82WuOw,
_1ynIXc0ae1wdPOf-KbmGg,
LR6p59Z4vc0a4I8iizlnIw,
hOfRujfs7BHrlLcmjQgoUQ,
kyvjtmeBX5j_PO9mdwIu1Q,
4DnLD2RFVU1GvCU5kZGzIg,
2nzfKO1bGomipcSVCtnaGQ,
pO8zx0VznH7KOR6GnKxvMQ,
VRwy23hGO0_h2ILt8kpX4g,
uWclQwgq77ghu7ex-UhJ5w,
JTOcYKAOpiYwYjBVGqBl5Q,
PKQx49yAstwBeLSZCxI4fw,
WL7GKOca9PCGiS9MdcnM0g,"
                

    Elite 2020

                

    ’19

                

    ’18

        "
uWbIZw2kThuoWKQbLlRLgg,
Nf4oeLF0aYYmC7mWnSi8Bw,
QqZnTgdZ32FZ8_H2uqbIig,
DECVF3hsZYMxjvW8YycGxg,
jDMdes8jiiGi3WRTpAKmxQ,
fAJ9mCjEq3wN9zcBTDQ-LA,
7C0lWHEflBHbyAD6DuKcqA,
TIh7K3w0u_KMeLiyBNEUvA,
wLOVipzX7MiqVXgoh0jJRw,
icoMQ4I7iDXd--6oEIyhsQ,"
                

    Elite 2008

        "
UnQdh7BEANyTohYdSz_K9w,
RAvOAwvU4gk-9S5wM8jJIQ,"
                

    Elite 2019

                

    ’18

                

    ’17

        "
_P-ZUX9kzeFjFDz6cAagAQ,
oHpv4cz3BFypzMxGT8H80A,
ssDasWNCpq7qub-vDC3Ynw,
gEgv5s0SzcC_0-PyjjB8Aw,
cMBR264Sh08ELc0Nb_l9FQ,
S0zJyT_30YR2qbR3hvXOYQ,
8kgvlba-GcYmPR19LBa_Ag,
vWYVTI9jz9ubpUgwBykUcg,
5iQF5ef9c3Yo7KVfWXZHTg,
BTlsp7xPvEGfTCljPpskfw,
yXbIl8-lTJT_0qaSIJ0I-Q,
v0YRBItUW6lfJh9bryvjWA,
vPmjfwcLoVZ5m11CxdrHTQ,
GEsz-Ta8qEQ6MWm3HjnvOA,
ti-vfFhY-Ire69-KqRWjRA,
RKAs10Bnzu7vtKdYkMLTmg,
5L6jkxWlbBO3YWP6kQ2VrQ,"
                

    Elite 2018

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

        "
9XL-VEuDzlXFD2MdjbHWDg,
OvUwIGyKhyCr0Hv335wkGg,
2vVN1bp4LwctPwPoeWvPwA,
1vHCekLxV5w_uDO-67eyIw,
GnEhh4L8cRJ_VBftfWO2IQ,
9yBiVbDEd9sl2UbDaerTuQ,
WGK4ZtLzhHUfctLg9NEcew,
2HlQNXc9JBMZ7tlKpsooUg,
Hu1YJCUbIwzrrrlw-1Hz7g,
ZGkkI4sWlu2T_WIwV73TGA,
h2xCWcUVhti6bjbV3P20Gw,
2HnT9UF7nRoUFxju6D8ywA,
lSYkhK5moNzgJARW5YwqhA,
pRZaxUF7Hn4yQqKALx7Bhg,
3qK-yihsg2oqeYxKDSW-Uw,
R_L2dayW4njq47hgSqNqiQ,"
                

    Elite 2020

                

    ’19

        "
L_CIswqKqxygEMU3MjAauQ,
EzVwjGRGyWgl5Dj7_samqw,
jmFal9piwBISyBwCM_qgOA,
ZyWSHSoSodcnMohQcr7fRQ,
mVCYXZrcUlo4uyTc0hBqPQ,
qEz_f0WHCJvCSTBbYN4kgg,
RNXJLwRnUyN3tLd8H02xNw,
i_5fq6ubebLBah97FlSzCw,
2Oa6sl7ZBmImEfxklVuDJQ,
rUr30XKUCWhLuFfoNCHayQ,
3m-lmY1pk_k-AeSd89gA5A,
Na6sOV3mTXtF0eYOufT9Ug,
xnNk4mId6em0CJ6u9__F3A,
MGNvEszcpKRkjcFDFHqAaw,
kXoJAvD35h_-yJ63-SxnYQ,
8v0YQC2ejWVX5bku65XgnA,
t7S2uL411hb8ukQzJkg_Gg,
RBrQlpaVKtKDyJUHvAdfKQ,
Ym2h3YkvvnWYx-6vEB4gbA,
IQ9ywzgsgO3WWR5YPKOk5w,
u1BJ2xUYymOKADHnRI_WnA,
bXFbMBnVlIuebNjfnMyElg,
kv1-LvRWiWtV0M4ytRs9yQ,
T7NEk0Yuf4EbIXAtq48O8Q,
D7S2rQwgcvI4IW_l0N7LCw,
rTrx6MUsfM4Fh1HBlL6Vuw,
oyU1UTERVog0IUQwqZbyVQ,
lImiflwRpRmI-bxmcaw6jg,
82_BqRDs6lbAvteBw-ngyg,
_3M1OYIlQyr9Lvlh2zpbOg,
cLGKttYZMt_kKNCwOUwjmA,
_feA4DDlt9NLWJiv4evnXA,
u77vKbBzp2Hmp_P8rGySTg,
cR81GUf8fDUX-SyaAvbq1w,
RXOFQD2LYptlDbOFqOhHcw,
RYz_Q2mpdthmCj9ZFSBXcg,
KXVg3PFUPlgl7v8hnMW64A,
4nmj7gPz_tI9gq8SJ7kgyw,
gfO_CJlu7K8sDQrU9_2Lng,
UkEtAdDeudnaCeeWxyA3wQ,
QQAN6-BJzEKKfEbbjRlgTw,
LqMwqt-IH60zUK-dzVVVJw,
4UtAFGOPFxTfZ2UloXl80A,
tYijNLBiGe2AL4qB7trZFg,
W7d_xmAFAsbiJhORAVhD0A,
bB_WY0RMvmpwVmEmedw3Nw,
04akx56PafobfzhIxoouTg,
vp13gc0HpRrBgbaMjkzZ1g,
IiYVbzc-s6PKBF16R3KpbQ,
d5C_j566S9vPCtHOx-OM2w,
IGrsArXtZnRUdfsF_ecz1A,
gx1S1tqw9V_zh_IjpFRHeQ,
I6HnUpnnmnZXgfGhE9Br8g,
NPZDy0CjeBKaGPM9fTIfHQ,
3YQ-6LFJJpyFLC3DiJmHgA,
8V5jr1UxsOWMN63vZVAQ-w,
yAA1wjJZSFUN-R38Zzg4Ug,
w4KleiZ1S0R4m-PEdavKNw,
qIRhfb4P3waSM3biPCsENg,
kik6RzM46AmpuP8K81lmXA,
-kBVyN29nUYycC9PtoYNWQ,
av_LpuStafVQjWaJrORJgQ,
GPTS4S9YlcjKMapwS-aUkg,
S25M3JmhgDs8mF-WBchT0w,
COVMPii1Fj9DqHJVGkf6Eg,
K7zshhhfoL3b5hbxbl6T5g,
5nJd8SF7exzwZoER5dm5Yw,
O-TrmSsMjQxxQIWBVkfqlg,
WHimWJ3B1Fi-FzQG58FGWQ,
f2F33mt1d_YxwZI6fWMkcw,
I7MjO1kTrMAeAtMRR4sXeg,
QeDmre6rULOEYczv15SRng,
sVALs3qPk2qxWWWovROCbQ,
Gh6Dx0WDPBNxiYtjlI3i4Q,"
                

    Elite 2016

                

    ’15

        "
gCZV4Y774macnbGXMU1ywQ,
JWVnz6f-EP3rGD345xY2bg,
lotCCLnk8EB-DzlD0nS0FQ,
hFqMSn5ElcIlVp6A2Ismng,
qJB8Kqw2h1-0vruilUxIeA,
RD-RLQPCrt3sG979ZhPzDw,
zEX8swQD-v6DfQSO4dmTnQ,
f2SxA53JGWIlbhlNZOf8bQ,
yqPW9avITinETBltVfUpjQ,"
                

    Elite 2018

                

    ’17

        "
Yk7uDMZfOBFqMYe4rXg3fg,
ormwA4Y7fhL7YCZsC3ZTPQ,
fXBTx-Ny11BgGXGb1yzvEQ,
OkPr-AcQ6RXafhvAIZwyXw,
gtiJQE-CdPoeyWWTPBzY0g,
Oh8vG40VoJFWxXC6DG9kSw,
lswAv1sMvSv_0jOLjrYBJQ,
lB-_CYvNJYXLDXs9oYcSxg,
bm2kXK0NecbNXum37Gf6WQ,
5WzuHy15lKUZ58x97cGzHg,
pyTi1Xxne-beEYPHwwwsfw,
eWXGLvkwmLFZDeGLy06m1w,
-COnsg0D6MVEQLiqeKnu_Q,
Q5qCRz4kSINaL-kYwhWewg,
mIwrfx7XmTISpOg0VHnVvg,
asUi1sePEIyEl4pNnaCl3A,
0CzKZiqAhIhxTDIgRpDopg,
RfSCladjX660OpmPFxmV7A,
1WbFiGulWAXkOMWhk6pbxQ,
dSph2w_D6H-H7jSLA167GA,
PKPt-PE4BMQ0ZHuGnXulAQ,
aOsJpE85d4W6ncvV3gDNPQ,
Th6bfJ_zOv3uzsbnLTHJ_g,
q8r6NTgjrD4c3gdEWfwbMw,
tbXJ3fghWpLITcJcmjYF4g,"
                

    Elite 2019

                

    ’18

                

    ’17

        "
C410MtPCXBwo5b-xK-ppGg,
1U79JSMfEfsbTAR2QGTuMA,
tHjceRY1K_CurFXzaqsDew,
xqwdq10ct9s4oxX1Cg4dPg,
RJxU3mI0O4t3evgSg5xqYQ,
