XTX_jDhpCRCSxKoR-QRvcA,
3QNkCv3l9G1yi66JDqF19g,
ghM0VzW-h21TMeWrarQVYA,
06bXZaYgORuscMCjqCFMiQ,
53-8u3Qfl_YQviAyGkWjoA,
m-dopWS5Jgyo_9TmUNmSSA,
ousSp0wpRWs0sWqHe1sCxg,
IHwctC_lSy8o4MTwEtIXuw,
ivyMpRbfEME8nU2WFgpl4Q,
Ddsnt4AM8ZHBpIdu17v6mw,
_JE7lNsJex4YPMCkc9Vpjw,
oOjsSOy4JPrUpQynGKUAig,
KG-h42RKqWYdsOT0CVJWyg,
SSWY5dxh5ZzzVqkBr1AcRA,
MP3H0cDmMa5QiXJjonyR4g,
He3R3wMHnOextQL_CfuYUg,
wgYng7mketVWNI1KRnjj2g,
gF97Niza_ptVTdJuvjOlJQ,
x7MTawsb7UNY-tm6JbPS4w,
_12PFWUoO2ULoFmXwsOkJA,
l6qctqrEeEuPLw9NhMC8bQ,
HDX6tMwHcak4hiGxR-kWEg,
vmZU2qbPQMwB6tWi73tM4A,
T-lX2fPL2cZrSScrbmMmFw,
yYzjd1EHTn1Hr85OUdBTDg,"
                

    Elite 2018

        "
NIhajPSrFkiTfqIkLDqekA,
TO2Divyo2-65DrLhAQeEsg,
2h5aTo-V6LwGUWd5IdfH5A,
eJC8exbFOYGbkWchgx7oKQ,
Ch8ru68LRhbGQJUkCtOfpg,
Zjz_GN2C3c2AQ71M08ksLw,
hgLNk1JwnvObqenOWukFPg,
_QWIGXKcRhDg8QH7UD2Dzw,
vG0Aroxl4Ax04UY1UF__gw,
AwzWxLLBybeqD4josVipOg,
JPVzSjJicfHSdPXPabi08Q,
9ZfsrVOMabWHVZuAoND7Rw,
mS_xbHAhC8mpE3NyDxKs0A,
EP2OJQe_LGWFopIaIM1hkA,
1qkwvmiiDJGPei2P6ZkCCA,
Wk43w9r9V8478SNTVgErUQ,
Y1e2yo-7A8XTzVoLzjov2g,
o3DHYvkZBfB_eShPEvHrRA,
7warjaOKfjf-AE8f5VKWBg,
UM9ZGoVAvq7ZXq0aCQ-RvQ,
pr8IHkJLSsDdT4TH2fYzrQ,
drA-KRbIf1DICLKqn6FgrA,
qoGFa6GULlZ8Awg5i-Y9aQ,
hy5usOGWHqzDvMtQhmEXNQ,
uWgXi6x5eLtkOWkD5eyi4w,
d9VeIoSBJXJkHfduaE-LIg,
DZM-GYbeNzz0BSL_zM2zhQ,
X4k8ugJaihHVLHq32rNTwQ,"
                

    Elite 2018

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
4Lk5zu4ViVILE944Pl0Sbg,
o3H-RUmG-4nMUaRtGeNATA,
px0aRaOGp0a-4CyfbOYT8A,
YNiC5lq7rhSgIeG2CxXxYA,
PzJhg1So8XKimgPrkFOVdg,
-1eOyei5PgcjfavtsLlwzw,
8Ic3xu4Ywl11tUnFM80p9w,
CO6yJ7rLL2NaTtsDkHvohg,
7ieSxDQfFlsGmhCtGChnwg,
rOYgPR5KQ4x8urP8VcGDqQ,
_fj9ojrebirAg3GNeqnl3w,
9aefMcYO_H0lehNo3jttmg,
kfV-YTKNur_Lw1Sc68GQuQ,
EXYKJAELRnZ1-MB1Uqapcw,"
                

    Elite 2012

                

    ’11

                

    ’10

                

    ’09

        "
k0OKXnlWGVOvkqlby20x3A,
ceP5t0Z9OfDNpwQ5dYHbUg,
HLRVWfBJGXWgvrVFwecNHg,
rdLG_giKchHkH3hnGNDaWA,
8gfdJl1T3g3EJUIGveRDrw,
0soP4YKas0rXpz1R_g4PSQ,
QVxNuoc6PJ2wMyoNC5UF_w,
a-hkkSljUS6Zspv8xsEb-w,
EXbwpKTSTVuwZhRhHS6phQ,
5SLv2C10AouCGva0S-42fw,
Qwkf8ZJFXDqKltZ0iVSjZw,
YeHrZWKD1nPr9gp5kOhVNQ,
IWsQIZDj9s6ZlKIh26-xSw,
pWNV9RL-R0BfiNQok8Hv1w,
AgUeDrlyxM3Qi-UMTUUMpQ,
8x43Mnf7v8ZYkLiDpCW6Fw,
EO1Ho6sD35Fy6zWbwR2hAQ,
aaLQATxjdysVcvaaB_Z3XA,
TAUj0OvXHZ3TU6LH_FpG8w,
_FnNopAxrRyyqVn8sqJkxQ,
rFVdnkbqMWStAM3plflCbw,
Uayfl1WJ72-5eHgFZugZmw,
ptpskiAD0jF9D_0NfQ5zOA,
ITX0QpwqghzFSMG053atCg,
OTzUepRp8pO5Kz321nJILw,"
                

    Elite 2014

                

    ’13

                

    ’12

                

    ’11

        "
ATU7wOUjUWbn0-rVP6-HHQ,
srUoanqQKRb87io-w2YKIQ,
XLznNsWqq1M_7WN8knoUCA,
AhZzhWPSrBiyb5PMzAQ1xQ,
nKvo08peDs2yrYECmJfSww,
vOMK4mf0sgKCcsdPiQNvgw,
zQflK7rcfasKVQzyK5pkXw,"
                

    Elite 2017

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
8P6_VssVJjesYdL8QkLi6A,
B1Qsm7cvI7os2GI_R-eMvg,
JPD-KSYznbZo80ZEOs8Yxg,
-93nFD0sQjbj7nTuBE3I3A,
ILtS-xUHB2x4ilRxVaWlgQ,
blw_LiCg2zljFc6fWDNycg,
LBAEnnaqdXFo3c66bvYFMQ,
2Sax56OovlvuXNwz5Xa7kg,
SJk6GYEQ9Rx4dq40b_tWfw,
LoHDos1YtTY8kubsxNAL3w,
xzt6jT48lnEfZNDG2Bp4ig,
r8uC7rC7dd9KnC0Bv85J0g,
iaLmHy6ljHx-ZgaYWZQLCw,"
                

    Elite 2020

                

    ’19

        "
-yhMgX4gjXf_ULCUk6rd4Q,
_BvD_DObdg8Uk8wXGqjApw,
T5Lo9HpzPgewj7bITgzRgg,
YQTPbRGs7JbtlLH9yDa5gg,
VG-Q4KOpJklhkbqH1g1BCg,
YQY4kCioAEHc1-otEzId0A,
e7UpRcTfMh-xV5kG5Ive_Q,
b9JZJsIXuhBVsYfAgnlFYA,
sj9h8MxAH5SVVYo5aUFZ5Q,
4zlV8QDlY6XbtnZp6-afUA,
zH2Lfg1rKUaDNoCBSZ0G5g,
Jdc2HmnrUQaAoK7b17Q7TA,
KRwYZc4JyCH9-jXBYew8ew,"
                

    Elite 2017

                

    ’16

                

    ’15

        "
I5Q-GU7etccg6CsudAd2yg,
5xmWd28DaBxRMM8-YdsR3Q,
qqAV98fn2uh3I2WjCkWeZw,
5OEaYqPiXFrUMYsOG-xkPQ,
EE9Y755meXk6B7c64-cbzA,
21tuxHfmW-MaTD22ctdyow,
RYw49v3l7kbgUHZXkQC45w,
EjKLCR20eW8-4-gDVktxAA,
AHfkIU9DOLSm3TbtuBrFXA,
hvRkj-hqYpuh_9K5_cv7ng,
eY1286plEfKRYThUF8XOQw,
EGH5xNm9YEg-BgVIdHr75A,
DvukeCtHs_4taB5utyB2Kg,
yDltEpCBQJ5laePOIXEY3A,
TkA-vl8fFpuoWhaHWuz8EQ,
BIKr1Wh69GbdCtg2N3pMRw,
Tq94egNTrk2eOVX4MEJRVA,
2deY1gUzAGgZ5zz8M0tfkQ,
jI43jHCXx1R-gg_vYcQWww,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

        "
G6YyktEV8cPywmLSyOj0Ng,
mUG7D5SmQ7zOSGHOujsJsA,
pUdA-vu-ZpjHzTeSWzbe6w,
Uwj54BqrO30ybSzICGSyrw,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

        "
4ievjL7e1NkjhOtC60MOFQ,
jsj-wlEmqnSfpJFdVJG2BQ,
T5y_9e9t-HI5XqaLWR-4_A,"
                

    Elite 2019

                

    ’18

        "
iGqbZJVIOVjUE0BOsaqLZg,
119NAyk0tP0KWnv4eQRTSQ,
7d0vS2SWMfaFgAWFUTgWrQ,
j1WX8-8T0naZHotciUZmpA,
l9Y4d-k4wwL1XjrpPjJhUA,
wB1YpgpRrA4b3xBy3e7udQ,
u_IXWOeIzRvsTl7Ht8NFrQ,
EdNvf0BRldV-KLA0WK-zHw,
IbtQBMLawUrm_IBiqtneYA,
kpYT2aG5IDjNG4wbg3emAA,
oPn8fbL1jyA_9-1G7v9Cmg,
h-aQAPZ5MCB1DdpAGABWdw,"
                

    Elite 2014

        "
esNlK-CLWTI2Xy1e18eDLg,
SC-T9GyVtJzoBciaxk_Vzg,
wJpCXSVv2fKxGAuxfNE8sQ,
zSLFC0QJw4AL_hdqJFJg-w,
itcPWigSeEmA4NUjX3p2pg,
4ykQ0nFMI0ux8R_D1N_w_A,
5tOj5uqXneDLdMrPop3HdQ,
3CbcCGrrue1AkCoLv1GiGQ,
Inv5iHe7oDQUbDQDvrm5_Q,
N2LxLaF9kZixQYAeah6TJA,
NKaKQO8QUMZRKeteP1kwBQ,
bESc3QXyjFVWD2cTiPCR0w,
XaHt9k7pZPJAHv8d3a07Pw,
lR9JOCLZEPyFakoV19ve7Q,
xDzQWUWsJWREqzO0BvcSyA,
WLa68POrwLnF26tTy8hSyQ,
AShKe9e6egp32c9BglgPTg,
pEn_N8M9KRMmOq1EjifR9Q,
hMmJabLkzUuHSfqb7iBNcw,
Z-x3IDu9581r42IhSbgbQw,
Hhcph1k0scTbEWeeDm2H2w,
cfjEe8073-H1IlBIrRE00Q,
hPdmN1RM5B0uh7UXKEnOdw,
08QeaF41bloqSd_dKpiNSQ,
FKNKtFG8KGSmZPPP5nPP3w,
s3G2spDcdCV-88Glo5joPA,
AKJupZmv29L_WFKwxm9dGQ,
EwGPBIE5B0bXLJHZZBBVDg,
JdUAZYwzgmFoUDu1FL4WSw,
DwztsP31tGK1YozWJi7bhA,
yFIxDbKqgDlmjzlslDeF2Q,
YOBDikmNmAsFch_PWKggQg,
UAjUIKblkWPHzhzevt8Tjg,
-8vZGV66aAO5TZ-Me50EFw,"
                

    Elite 2019

                

    ’18

        "
jbOksCMD9mRGfRnIoqTssQ,
K2N7ubR-hRb0n5sAyFdPXw,
clJb7mOfgO_VvD9CEbUhWw,
2gcVxT4D2uLUQbY6We0neQ,
C6LIHUALvkq3Ik28j8kX6Q,
mYk4ZwGABPZJEsRR__fOLg,
B5oJra1zgaXS_GcSSqT3NQ,
ZbDAENz_7CltU2JYY5ddPg,
pHn4u2LNad6Ijw1ibcK5yA,
mCPmCnXU_ggIxpdYJQYaEg,
7REcYrv_NQOvryC94GGK5g,"
                

    Elite 2014

                

    ’13

        "
PzkRjiUWK4RPOfEHCYzQEw,
9BQGeZv_4glC-uM_NliQvQ,
AMEo2PWjBImeVclBYc51hw,
XAuyeyGASHmZKezI77w4zA,
tjyFNOKa9XHzGvC7D3Pk-w,
WPBl3p2PIpTkGQJvkLeOPg,
iI8uSUQ90VQD4mGrh7_fpw,
9eAab_ADu0ZzVVVEKQv9sg,
t-bZzsR-Wuhwbr1vTJJhFw,
Hi_LXN8j3M2IpJYVdXVzaQ,
7HC3oIOKhlZCI2pVMToa9g,
hljaYdfEUDGNFiA27AWkNw,
RajSojRxTWY2PYrCWF9gBQ,"
                

    Elite 2020

        "
Qi2AwCpjhJ80T-pRr1Xcpw,
J_LOmotWfpCTb-n5X3nqMg,
5HRNCA36kcyRYmWMH3swPQ,
bmb-VTJSDIr2NkQ6TA-4xA,
QnkEnot9TnX7wvGfcqAz8g,
97MNyb8tjjl05MyXMIiRJg,
F22yvVkuO_p8lQyizOWyYg,
0fq238YFVW5qWcWwebQaQA,
77VviGrRqsoB7PmTf_xXuA,
31UMihj7enhNlq2jK5hZ2Q,
0K7VOWVFSV2O8OqDi9KqZQ,
pJxMzDwzMgTyibKcQj2M5g,
ytbvUdgVXpgEOWIt7HIFHA,
Roo5xp66Ky7Su7I8cy03ng,
ihk2sd5FObHciAlVlIRrmg,
pZuLCKnWEAamt1WzlD0yGg,
T6UW_i3Ruh6uQZuLP0FtHw,
4s_8pbmV1YXo9sGlAB6cJQ,
Kl_BheLrqafcNjeIreSuvQ,
5M1JgSHCnGsxhlC87QUIqA,
-uauLwPlojE2vfmIWvCRFQ,
7hX0GNv3UBP2ifmfI4a0ng,
UhkxmHZgnswFRuUa_V8J7g,
9vvPxKeUeUTtdOXZA6VxxA,
k5LzfQ6VlC79tnhDVp5QZw,
u2BUoBbSUtDbqj29z1Q0FA,
iopLKrfiPoRlo1EC9aplrg,
hrsYeEYzVcTO3geF2cieug,
lEbdQgCqVCoBI9c1uKCuMw,
mIPlHNvX9wtIjhrfiF4ggA,
R0jta7GaeAsEcMW6DxNAxg,
m8XD-09S7ShidZSObO-WTg,
jSrDTbpd5fKvxtjWscCKlw,
HkTMA0cWGTf68UzLAiMzGg,
mP9BFkWBMH85gKI5x_x-GA,
Jihthqao3ut2HHVTDcEtyQ,
286rXRxj8WKmAhCe2j0qhQ,
GYQX5Ck4O-vSPi-pOgo46w,
4RlvnB8JGCIC5GDnSM7LMg,
LXQpHVlwsTVkixOtAPORoA,
HmVZUn5IhWYuRlgO9IceMw,
Ho0TsrDuRepAE23qA2XH3w,
Ytr34bTWuK_PDtf3pCpUXg,
8O3WN8ukOykg3vEq6TFxGg,
AdibvrWZfewjWAGEq8N-Ug,
wcs17XdQ3j4pQwWxgYfUvQ,
fuMM5FLjXaJaE-c5W9qSCw,
Ut6cKRCYzENbDhbjtlmQfQ,
90HuXGo_SaHjrNmEjQKdKQ,
Cy8K-3L1RqtdAgEm_cGG6Q,
H10oTB5gw_wzqkanBSGSQg,
xMh6T7xlRu9GPRhyU8l2Iw,
r9xDuQ_SLgumeOIT8Bnxtw,
2KfSfCpVpxOwEA7bC0pmzA,
18Fv9VW6V0elwgKsHVVa2Q,
cpChkPvGOhp8lcyiLwj3eA,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

        "
-KO2YmcCz_rnk2Id4wWbSQ,
EoqKH91oB1iA_9z69RtqTA,
qsmtLoOaZeWi3hc8lJR1kA,
inbhiAZhBqwWg_ftVM3N6g,
3kJECpSK55mSVvNosxkGIw,
lMS3t7XSTn9As0QmDSvlbQ,
HbLdaNIJJQAvmBH0917BWQ,
JlWFf5PaiEThw5JEOMC83A,
xTSvrpxlpsmoCAnSrThQcw,
HCzGR2thYRvnDWQwpu_DPQ,
wPkBUtNPfBcPT_U5O7KDFQ,
9amNV0v_SABI5MgUvu4lqA,
dNifJVyY1zB5h_qlo4iqwA,
aQHY72f--5nzMjkj1nKyFQ,
3vPZjK7njsT5vCn51ttDUA,
4GB8D0BvINq8eWiFt8JwTA,
zPVb8GxIxXG4Uczju_i0Dw,
hX-ZqMH_cHopVVMqBb-irw,
dXVbkVB1o2FRFjLbHo0yqA,
YzucfZrtyDvVunf2-QJH2w,
R_MBoYxxJwfhqwxgUTmzsg,
Kf5hdXk2oG2RnCRFiKufNg,
jYGY1ebuDQH2MPtrQSJ0Eg,
TPa09fB-c-ZaUqKkrOSK1Q,
Tvma-jtXDFcK1KDPLasLdA,
uMwfQdKd1RbvUODlMTimPw,
5thYNZRYvuYc6nGROZ1lZg,
aA4Rm3bwrvtUTd0l8ycEMQ,
_J3YzatJmBENBnn2raPYNw,
TmKmdlC7gkLMGtuW3A5bQw,
dWNrUBM3Djj-pyT3OFXqxw,
VWcuHdRuEenK6k11v1pvHQ,
T7r4m0chNMYrHGwmcZWQXQ,
HYce6hb6AKv2kXet1-myuw,
ajxMkGDtsXM-x0M625ybcA,
Maw9Gh3cFMDQG1JV_d6kDg,
v-44mKgSeXWfBx1sMqHmBQ,
C8_g6dE4HUKVUAMSmhyckw,
v3j_Lxo2I5AhVm41dO33-g,
wi03Pm9sEmAv1wHJ32yg8g,
_cjZkIpiYP4uaWXEQBd7Jg,
jXE16xwricJ_i2qSl_qhHQ,
5wFO9hePZetMXF70qZwhew,
9jb3e9h_ynP4TPuZCPLHbg,
gZRP6cm1PW2Ot0dby8tcvQ,
CCi8IYJzodA3FLe2ieQ9gQ,
NjQ_hcQa5B_XFb-WLTAF8Q,
YgzjhRYTQXyOMFXHYG_2RQ,
7SVqm_noWfURxDnKaQqvuw,
9Be52Q1WFuwy_aEV77Qzqg,
ef21sdLxw4p--tMDGuGwyw,
tcBOEF8KeCZ_sgMIaOWcww,
GrF7ijnU3co8ibUFJQwjeQ,
7Ktj8wTm8Y8beCLTBK_qOg,
3xT0gLF5tHqEi2-qPQEqbg,
0v3bVFp-syEqStVjcbHH9Q,
c4ytvSUKO4TQeD-KCLOicA,
I4CLmHdtpbZr6lNvTU4rZg,
Z_BErhQKAfWSQM6KACy3Pg,
_NErWtnV9dokbrCt6myuFg,
2dmG-7HMVyg_aaxRfJZqog,
YAHrkabT81GBYaMoT0hkUA,
WHpa5UqpaEW4EKhB9ivQlw,
_bjV6CBzXZG4W3WXlo4fBQ,
wraJ03quLz6EfvD1XkXgFw,
kmX_BMWZsN6_r49r5E6R4g,
ct25NRiNyOm0kgh0YMZ3kQ,
gE3ElBCbSQ01tT5J-oCQ3w,
JtDdTSV4zqOwwtsbFvNXOg,
sTdijVfktxLM5tzo2kJ5RA,
8HdDn-akOPOm8ONz8y8zkg,
PdW4EvUA-NTQVQuwx4VQsA,
--OZO4c_vDOVC2z2BWr92A,
a6MO1GIt_CMT32Abv92L6g,
CrWT8JJWzYMAXXU4zeTfZA,
B_D098mgzYsA4Ic5RlG5GQ,
qoi6X3cE26Sdj5nk_H9y2g,
CzdruQfaPIFhCQ8cCUJSQw,
Gq4gNVx40iEMGLyJjMpSUA,
p1g0rKNXjdE6toNdqyH-Yw,
QyY-FXKDVfvHlqyfd1YP1A,
QAei9rfHe4NlMwBfhzY6Rw,
tbQy6n-r09RZVhl78592SA,
uAdwQQ0LYHZ-KV7czcCFrg,
5hbplInQnUWlVUEuQljMYA,
HXcPXrqKNQzTypWWmxHR0A,
mYt0GyFeHlaqiGXgGMQwNQ,
NwFNzcM-hYcFtub2iuKQ5g,
Q-vIGvcLojJwa-tKG8CnJQ,
KFW8s_1dDA2xTVrEmjoiKw,
DqTYFGLTPAcbTa0LvlFjRA,
U80hme3qq0cnpxs5hjxIgg,
ay4OOkC1-xWrUX7y08okcA,
2z98H1FLX8nW-10UewvyTg,
74cGq7BPtKjKe8YMyaj-6w,
iXT3lREV3u8gKCeM4xOwTQ,
Rju3K3MV42Pe3dHy1pCVOw,
zGSAMVPwUZByPwEmh5hWOQ,
2x7iocGSGMEvj7-uemQKwg,
jLMaMA-gpR7vo552Jt89rw,
xLfQRssZYT5mrlb5auuM-w,
-WQWYP0ivGu6Emoq0UvQgQ,
WZBIlR5MbEGMnpxNWIItVw,
7KeNchlhWhp9hXxbod2JDQ,
XbUHm_sbHvyqeoC9po7Rwg,
T0Z91kO2Hh41zv-L47iLAQ,
pRRVYMOOBVDVS83Pgkzp7w,
GLk-GoPqx4D88P9A4snPvg,
avZp532ozXHBoxI8kv5cyg,
YPaOuTfs64hIhuvzWZWROg,
ckszZNCyqLZfGgx0tFv-SA,
ocTRNI_qwsFAwud9VZ-iVg,
_Dtfsu1ab3SCXhpfmG78tw,
QE9k7bjldyoNmTRJU2mmiw,
gSrhI1QUCf_LP31M8SuYag,
ayE1s8x-xSRcTTTh2mhS9A,
84uFGY8whjm5oRYndY-rUQ,
KtxEfuHy7qOsrWsio7PWaw,
1cA3Sw_pKQNUEt7DaIJBCg,
dI9gOUGiDeZsTy5NsOZ4Cg,
AKHX3VbnKrdE_nIOCd5ptA,"
                

    Elite 2017

                

    ’16

                

    ’15

                

    ’14

        "
5TP70eRrJNXqK8dTFjkudg,
V2UIE2YB9diIZSXVKcq0AA,
6IE7iIbb9ljH_YeCRbl2UA,
Aaf9faHtmrgf0ZDnErF2RA,
rS2tTth5J0_rVb9N9p3J3A,
NZ8jpEw9nuvIqjkG5oVb4w,"
                

    Elite 2020

                

    ’19

                

    ’18

        "
DfXduLdzLWsnSvWl4fuVbw,
wwGCdXaGW4GlbxbDMtR-zw,
aFmOco6NS5U_A_bO5uDCOw,
wbe3nWYyjwaw_bgebBBaQA,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

        "
mhr2AqNHX0TUota8Xsm6QA,
xWgSoXUdBe-9TqK7MjqGAg,
r2icMb3lrApr40QqiUnF4w,
8q6PZzKm79kmRgHZDhZOVg,
FpH-MMFlsanl0h0bBtqtxw,
2Beuahb-RrVknGUCRoMltg,
cZHYAXuIcPhK2H1XDu5CAA,
kigBlb51dRfjukm0DldsFw,
t0UA9oYtWnsIpROX_YbVqQ,
2zfS83UCn7HtCjDsr2kMsg,
E41MzfZ-RkYCaRKrkBbOmg,
5b3hVpUDIbeM5ARNxA3q9Q,
R3xGAd1G89DdgfFnvNHxDQ,
F4d9N9-kLFEmGH6teL0-Fw,"
                

    Elite 2017

                

    ’16

        "
wNnvHWBEJezbIG2Iho3Cqw,
sZ7DMmeDjJSx2p7YuZw1Vg,
K8EOD9khRB3yhvsfz2oscw,
GlbEzCUZk-kEONIJl0OcLw,
sdjKI8dpMdyk9tPxWYF3Lg,
vEr3B4SBBUdSkeHUWBrB_w,
l6ln7aGuAa5nIQgYAzQb2Q,
q0uPKc0uI6-9e7rHoTZfww,
DyigGR7I8_I13EjSZsvutA,
_T4xR6XNSRECtPffbVpRLA,
yOYwBoh-mjxoylRDlGhZ0w,
lwSUwKVgdX_Hpr_8EKFk4Q,
EzMmwcYt6EKchkQJhfWBWg,
gz5gmsTnJ1kQr56OFCLTpQ,"
                

    Elite 2020

                

    ’19

        "
2_2BKst0KstU-XzupP3kJw,
ypdykKPp4SFOG2eUYEQGQA,
KpQtDLhRdifvrllhwOS-iw,
T59xDVRlAz2aHk8SKtf3qw,
7gZmNh0fzAYmWc7r7YCp2w,
DsginnZpaPWTSYmsHCdmeg,
HXO-v7MGKRVHMMQgxSjGIQ,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

                

    ’15

        "
4sXSxmVLBv70xEFcZWMqvA,
BIMs9eKmQ_wc8PUsaxpiQA,
f4yVVs_XVYfxIbgKKSX-8Q,
fQt6NicdGFNrVCD57ww4hA,
jiV-LYgcPwUJsdgAJPSdsw,
UkeahYZzVYF3GKxau1Vzjw,
I7a8WrpiE6lwR8hZat95Gg,
0y6cnimHrX42K1soVtqXyg,
TjbOxr38Lpv5yPG7cC3ilw,
oq4CWdymJU40K3XfjWs0tA,
xWrc2KFvDHF-25J0SnT8Eg,
zynfOy36AZ0WsoGUYAjQaA,
K7Eh7G8ekLASmjoAmuC4Pw,
XJ-PsZUp_DGN0R9dMvJgOw,
FXSGA4qGAR1d6a0xQFZ6VQ,
-SWp7V-jS2Aol2tMpoXrxw,
BhUjz9g232nDhSZ-Pskrvw,
TgvIW6z0lMku5lFajZpdjg,
gEWQl8PIrLDT1_iLcb2k_Q,
FRl9T5NX7s39EhZkrFJOAg,
SFNWZg7mk-YrEAzJ35xD-Q,
p-HQWJa0QAIn61icAPMMJQ,
V0-G45n9C6CBjPEhd4oPyQ,
dil1MMaOqjjfRF6JD-l6UA,
p76ppnuWkglf3GowGULBCg,
JioiUB_Fblj0xTteLx0Daw,
BQ9oLWYiO-XUcXzmkDXzHg,
z9Bu0MS7SMjI20XcivCmOw,
yWmSF_4Vg-3K1Hy0hLxsBQ,
KXT0sBYur-I9iyBoShqkaw,
4GBD6s1G2v3xreav8qPFtA,
NTINrzbdpLclrWQt6D23kQ,
MLMmZ5Xpze3KJpNwBUXUoA,
swyai923r8ZlS-313vGrjA,
lKCEFd8Z7tZiBiLT2J741g,
T54O0q11Sq7q7RnBy5TCMg,
d4N4ws2bZcEeAS7pDPK6Kw,
TiLMduSeghECv-wBWdUNrw,
lkN6R1eegqYmHBUi-upRjQ,
Uqj9CHr-WkCnN3feWfW_aA,
HCt54fSEGuYRFA1A2KvYNQ,
vskmMYDhvgmSv9YuyFxjvw,
AWBuSXB6VjAWdD1y2keoIg,
deEt5mYK14CQWrRNT7H2bw,
NiaANtkKzad-KWncsSREeg,
pH0hsGwpve3FD3r2ExxkSQ,
U5zogIs0wgnBpRTDkUu0Kw,
WBEp22YaG5C9YoBwFPl-2w,
pEOEEgXK6UHYCAsyzbI5Bw,
8Ab4SZWWbJIZh4obBrPTlQ,
uv982AO1w4uI3pCVebtUvQ,
arTaRTz0Cq290wJZXdLO6Q,
21XBVBJ-oq7HpmWeAKFXgw,
JV3XGIaQ-gcfPC7ky1bkqw,
y_-HXjecZ5fJz97bftTkuA,
Chap3J86-8TavYvpuwLJPQ,
sFLljNa9JEV1SPibTV8-dA,
w4z7wySPvHm5ciH-JAuqeg,
Jk0AcqPCVMfc_DTWO3SzwA,"
                

    Elite 2017

                

    ’16

        "
e0myGyolKPpgePZ0xs3XkA,
uQFoo4jVgd3uBn0dqJ-1Ug,
xGsDCary1WEgfefXrbHIKQ,
f_zxFn1dToTHSKiYSrEIKQ,
ET5kGu0YqA9R6jXLLhBIYQ,
nYDbaBszteaTkBF_8pFZ9A,
kdssvU-cLvytZEmzlIWgbg,
lcYkcPsIvMHNa9vb-w-UiQ,
KE-v49suIeXR9F-2RGwSfg,"
                

    Elite 2017

                

    ’16

        "
6SPFpxRVoSo5i_3HnwQwhQ,
s11_6-9YfUaBzpKdvMl2gg,
teb_MSSgjv_Z_IJO6LCA_w,
2PrDbybYnllTEv6MvHHJFQ,
