KSvgWBBtxjYQQZrtLNV-og,
xbtX1Q-rCYIOqhv0RhN6yw,
IO4G6enln3RfaUVZlEyiGg,
8S3C5_boXvNg3BgQOxak9w,
Ha9pJMzL5ycB8b60PCMnRA,
q4p2JOtcvWhhxP58Yyp7DA,
1vi8G5Y0uZzSrciqS2w1zw,
35qBBDtl9xmEKse5jUXMmw,
LhFNAPg57vlKODRiPEVWRQ,
xW9VZFetWm6h7brT0a5Pzg,
5v8gAYHzEB2VIEJqbChQ0A,
LM2D_oVI3EJHYQRorVo_Og,
-CLLKoyqS9zIJx3V_SVgkw,
4UEwc75hpggMD0tTNq6lgw,
6VnK7dEe4kPYlRNCTGQJ3Q,
TAjbT6eFBQP-hJSu8aJVng,
SDGjyMVj7mTfnpjm1-IbnA,
A9L47YjFMu6uahGl2TSf9Q,
IfsyEkWlg5KGmPi2Z1zx9Q,
AcGiEJbxNNKvVVFUnrk9BQ,
QNCbDYEfa6l8Gz_v4vR8mA,
OR9aExmeFRsS2GzefXsf4g,
bEMKzWN_N2uyfqm0SQpofg,"
                

    Elite 2014

                

    ’13

                

    ’12

                

    ’11

                

    ’10

        "
ZjK5fVTe0skKTSWUMGaQxQ,
K-sbGYlQBuTKZwF5h2MLwg,
bBZ1SievHZ1_kr_YQaCe1A,
Xq3gjOe31Hl_a_q_aUBjIg,
vn9ixvK7Fv0BQP7uA0N9MQ,
_kICsRYpdibvWCmG7eb3_A,
WoRik5Loj6zr2EjiDwat-Q,
HxX6TNAMkIhfhshOUJI8Ow,
c5WgKg0Ko9_DOMHaZiHrrQ,
TWImr6YCxTbmYkoyek3pVg,
H0HhBWwqiB1T6FD2jv_W_w,
4Ov1rgOoXDwPSXpfMUFT9A,
dPOvgVwRFFGpwfxZvUZYKw,
LO-R8_iDZBTafPNTFbXl0Q,"
                

    Elite 2015

                

    ’14

        "
l3m-UCA9GiFX8uKxszbm8w,
2-5u6w1CLmUGJm4iPf1cmA,
7x2dqCpNfbLKIwc50VeFEA,
kpwByG1OmyEoHuMU7coRbg,
vYyRgJuZno1zw9iBILvp4Q,
fBBLNQik9hv97ys7DDcqHA,
Et0TxMCEw_eCJNEfcMJYQg,
hg80sGtImlN5DrnhRVwAMw,
P0wyAV7eRAlShbji37lrPQ,
kiPDTdfOi3R1SRPry_C6oQ,
rH8lFnsvfbFiuc9TDEJUoA,
NBX-W2eoK4XzLiwwYJTQCA,
UBnmI0Ee3wPF2SmDCVKk8w,
XVxh3Qt1am0jikK6evOV8A,
bLJBHcmBwQUndRpPn5-s4Q,
nc8DcB1WPhNpGgAYFxb51A,
UBLa6t16auj17GpjdhG6hg,
Pel6ZNZMB-jVMSIJ4OORsQ,
sBReCygAeC4Jhyihl7uUXQ,"
                

    Elite 2018

                

    ’17

                

    ’16

                

    ’15

                

    ’14

        "
d26VdFeQyNvoVUBSPMoBsA,
r7eSFbrdhVLK4G15LQLWwQ,"
                

    Elite 2010

        "
fFE5wcQLIdOW_4YOhVH0WA,
T6Bo44Ykw6L58H5N6LuCCQ,
0XJRsvbG9WQOyUVJsEBUHw,
Q5lAXa70fzf5UjIPQ_MwnA,
uz1W_LxrtdZR9fWpVRPd0A,
bKiCyBoJTjvhIEta8BlfMg,
KvVCczHDD4UycZQRw40GBw,
h-EGzWY38d39U4VJPXb1GQ,
eAlScjO3-_uYzRsFP2DLnQ,
dWa1BHvf8q3vyVp3kiHqHA,
l4Lv7qzxtX5NH0Gqz2tGkw,
lmka1QYnM8QekOCOG5vM6Q,
WBdZonA8c2x7W-iguaMv4g,
o2jspssWEZKmWjfboPTLMw,
_N432BWav0jywa-A-tYSTQ,
ZOymaRW1MiOGu5aGS0ixdg,
_DwpFnAcDYqUtROl75oidA,
KQOgv6EgLlJCTh-DkinJng,
R2y8MYMq_ptdUFbDd2B3vQ,
9Bpu3RJzcw8LdO7l94BROg,
WODpY1tgppkW8-JT074TCw,
gjQOFMF8Fwj-z70d47N47Q,
3NlvD-IfUGTp52ttLRD_7A,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
HjDHhd6aOTo398ZKaF66yQ,
-iQd9stY4KDl6ZND-0A-5g,
EO-pcRYaOh735njGRUq4QQ,
9RkYLSHA8pb3SfyyvDlfrA,
bAAZqn4D67H3xft-o5Imkg,
n9QO4ClYAS7h9fpQwa5bhA,
kFCjfJWqj3QoWi1UuFxX3A,
lhGBI6YnRnPuuGNfWCMwRA,
MSFL9h5sBlk0t1Uxl48UDQ,
56Flx_7kGVnrv0CSRkyuig,
mTAauvWcbuV0yoyaEyUX2w,
dppA_CHajuL3iMiv8JfWbA,
tJZHonxHld79y0UmwAJ6xw,
V3ugHa7IKc3b7UOhV2E0xw,
QDywRsW_9_vkTi0lleO2iQ,
oXPSlwrcD5D3FCSMu4zaNA,
Hb3aw4KFEIt1OQ-GIEas1g,
psZWFV-BvHR8OWQfx2Hm2g,
yI2mkjXKzr3zcq13Y5Duww,
8hr9fxYO3GX1AqyApvQcEA,
_qH8M-ijIVTGmz7u_TRruA,
pL29DaISLwAMQihJ3EUwHw,
84Cxpuc1Zow7DifKKqr_-Q,
fr_SBIeFIHhz0HNSfrl9SQ,
ymPBSito0UuEvJed0uMN9w,
usN33FPE6HADaX2Hyu2UVg,
sp7T3IWnJj3Q-6ZpojhgdQ,
ZOE8eRbJ7PgzN7Y1lsLfGQ,
sBKLTf-L9npdz4P-gcE_2w,
9mHiKuMRQMwAjO54JH7F5A,
sWK5j8jYHSUoAbYBJH3b_g,"
                

    Elite 2010

                

    ’09

        "
h2e7UZJ4HBN8nBHZ_j0p6w,
QYAz8AFY6obs3DO9ntD3Hw,
Y3cjqqsdrHo5Cj5_xibHnw,
aHs4aXSU5b-1mPW8dAursg,
VxwSCl8jvkmV-TgLdRtszQ,
cJsSaDtrSsP2guD0z9Z8rQ,"
                

    Elite 2020

                

    ’19

        "
9idjGH7ZLBc0C551l3YtAQ,
e29Ze-iuZbh9a1sZk0TwvQ,
gEAowK-Gcgcox1y6M3Yi0Q,
QgLRkGr4mBzTbtIiRuNRAg,
r6hHLkwwwqUZLcMbsISleQ,
WtHGsdxKDEZaIbvjGyaHbw,
3McgnI88owqM1GXkbkBfAg,
10BXiJcHOpD--DxShu-o3w,
vW1Hvv_3ujYn9-MAXGVS3w,
HP8XvOXgD_1t2QLFdxuJwg,
rEhjgJuMvGG_GxZpUOqGLA,
2TN-jjYg98_cPNft8OJHCw,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’11

                

    ’10

                

    ’09

                

    ’08

        "
3c0m1TV0hqVc__ouvvuUxw,
mvM5GkSnAhukW4Us2BOGhQ,
OgMsVzL4TiUJdXmDSCO6mQ,
BFRBwQkJ-hhoLBrjueCIKQ,
0eB2fWZRg9jvta7unkQ0YQ,
8fXGvhFG4lG0N-G41WBSlQ,
cWT5OHyszIhaZx63Wa4vTQ,
OzgWGl9bPPu2RiISobzfKQ,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

        "
3_ZXnwgmEMJx2ZRwp_nl6w,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
oD0gxD1h-jqTRsg3H9dFaw,
PzRGf2TYmq2ZyMC9WvDhIw,
soFLCg98s98rD4ERm7OtfA,
foeeOjZV9KruD63Ek8hwYA,
YSE4zpIUVIl0hyHoewyeCw,"
                

    Elite 2012

        "
ZGYifpwVv1mR-5TZrEoXtA,
0xhfyklP40VYqrK-jf6Ysg,
u0WO9lyaOgvpp6E8sNq7Rw,
CoPzyUuyiw6hLaBAwpDPsA,"
                

    Elite 2010

        "
8fj-RphomxTIJ6pJFmvKqQ,
qIhTVd2T1mFCmDesfq5Zrw,
1vT3VIF5RZJvkv4pM7QKTQ,
p4gye0cCvqfnEsVqa2stZQ,
2bfcILDMhKsCwhIyX2VNCg,
k-8Be5YQSsJ0E3gZKbFaFQ,
dT-ta3eMzVsQ_DrjNDlFwA,
svKDPpDu89QZ-cSaK8cGuA,
mQj2DwJLn9zBj8dpdrmZYA,
ZyxNS0oUEFB4VkspKiXWCw,
mr0MLK4na9sruEnV8HqOuw,
ZwRGGVpOxguWWEM_Ki2lCg,
kr46fe3E3vFBlUjWiE3_zA,
Qy1UICsVBVbhAFuImloYyg,
7Ku5P9v2zjsGT98O7sdh3A,
86Bxbs2xsBe1Yt6JPuDXaQ,
PnKNJYYY28wXzMp7RUl1jQ,
ZMqee9-OyqjNOM2XZQGgKg,
Y8Ak41uSouQg30zZTO8x2A,
z1Df6NSna2c390pvZGLIEw,
tcVPX6rlL2bf74pZ87pVEg,
wYtTLZ3WF-nIrRIwzZB-UQ,
Ywsri5UmohwBsiiuFO1ocg,
80kpInti40qX0UQY_u5UGw,
uAFG11WgN0Q1KGtldW68IA,
6rBpUjPug7u7dkVG489CHQ,"
                

    Elite 2020

                

    ’19

                

    ’18

        "
hRAj7vYCi4Rsnf13Ylx22g,
JNqZzywOqquMXnvbySOgVw,
bjplReEfiwIWM4jHpborcw,
EXxEyJZGxW1v3XDmt4MpRg,
hvzHoTIjaRS4x1OrhhEb6g,
S6EjkzD2e1SHQSoQnB9CzQ,
g6SiQJ2y8wxhazy70TPgPg,
rbYsOi843YTkNHBGcA-ZVw,
3cmRm6Ze-m48DAWtwD9rCg,
NKin6hIxaLPLKa0OCmKJgw,
7FbDQloqnrkqpleDqgkUlA,
xmHTC3mvhdXvMGvczCSimw,"
                

    Elite 2019

                

    ’18

                

    ’16

                

    ’15

        "
HFxicJnNrD44hGHP-gE7Ng,
t9huJV1SFDT9Saz9bgkzOA,
C8xiOmpOVYh1-oEl7wehfg,
jkAAc_6cWWn37IjgjvFPIw,
0VS0E25VSSRbEj_4MXLCkA,
dXl2F3_MtY6Lzhr8Q-QWJA,
PNy5ca0lqheOq4RsSm_6PA,
PVqhonAEQr0y9hCJsRhaxg,
D5P1brTrjMXTiC4dXcJmtw,
oj3kr7QU0nWbCpOGb-3VTw,
dwwpFLiC-k7AijIlTDoGBg,
hywZBfeogHTI3pXurOIfIg,
mjdXzc1jQ57T-08XbHC1OQ,
HmGxrH9vjnFZHMZXZA3TYA,
oDRy6oyNd44cP2nd2W8xBA,
DHbTjYUpAywOQe54mUepxQ,
Jq8TH7qFzm4MpcRAnYS3sw,
7nf7THWW8mAmdMoapzjk4Q,
Jc6sN12KZKLROJxiYK8Dhw,
aQtrq6miYyCFwFDozBzIdw,
QB_t-sKwMeAqD6ZJ2a-7Jw,
p2mxy36jzvgzNaoTYKxiKw,
KVkfh1ceA65IiqKTr4U7MQ,
cQ2UFzDFV1luBb0OSwTWeA,
kFo2QZNLJvNrmwiZrnqjNA,
sdvblZYxQ9fqBXio4dIyIQ,"
                

    Elite 2016

                

    ’15

        "
cGIVlhFuWw6sJcDPB8DTFw,
aAOH0Vna4dmvaIqrbhXl9A,
ZkvEXuOs3YfwogYDDa0L4Q,
2zyQXbtMz1rAFzQXy863EA,
kTQ0w-IvevRNpOV7qao-yA,
Qf5FjI5ZqnDRCTI3FR4vgw,
QYskSO2_N7Tm3UZVimRZcA,
0TVVDHS-u8SwD_uUV5LVtA,
b9mvNo_oaZFNlBCGP7uT5Q,
BIPHzxOIx8mW87aqO3UXIA,
8iVkg4oIOzqRiIZBR-nduw,
ObyiTtjajqKDe6M2DtAW3w,
K5eSFtAeLoOflLOgonZ7Wg,
VHkocBL4wdCRmccF0flYpQ,
Pweu9e19-LfISe-47Q2WVQ,
efOewVrLWWv32EnfBZ306g,
-JMrdKXq9ELl-CnwznC4qg,
7DLacZY3d327KIUcAdpIvQ,
DFtDO7UKamJ6Wk8KZcLYdQ,
kjHndIOBwcyKHKjJzibJIg,
O2Q9m_-_4asp6dn2H_gj8g,
iePafFNAsscApmTWaZRP0g,
oAkFNdehS2UHJfOTQXj70Q,
sIfQfiUkCttUflznG8iNHQ,
NsZ9v1HXDwODS6XlNlAmjA,
3l0ylm5GzQkr--J8Ds3P5Q,
hdEm5r8fXhJUFwEbsCd15g,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

        "
Iob7ZbPf0miVLRmAtrDuIA,
kFpXoSAouAnYa7OYRQe04w,
L-Pq1gq1lpE-1vcopLhTpw,
YuzsNn_mUWZEiY5A-lQRkw,
IRHBRrUiMZwqhwgqSBc7Fg,
fjxuTky445pe-ma6fIN64w,
hlaa7yacpr9pfCteogJZeg,
67y1C3-ZwMFRU_3xI4T2tA,
izw2t_2WLAKq2gu3jAhhSQ,
jeZJHbds_UiOQ8LsqZG1mw,
Ti21_XTC50sUL5IFvxaILQ,
ZN2NVlmfqaGi_-KFF4NoCw,
E7U7dJUYbnz3oJFRStH-XA,
5Zkuc5O6kZ1Y5TFel65HYA,
71xUxPmeUPZ6jfc6NtWL-Q,
qtoBUOyvwyddSzNIstOkKg,
BGA-V3gxUe0m1MXzf1n5Tg,
jTpeBwjnk6g3T2pjrSD_5w,
icvUWhK-oOLRknh7JRLNbA,
LDeUxJoWwMd-ZW2aIei1bA,
-btOrFG-KcmKFEVPYDKBTw,
eyGk7fNPNcQ2eorz10p5NA,
rslkimWapkxnXRSthRn7eA,
hoaC_7QwAfs4GQCrL8HUlA,
ITYnY5UPD8YEp_g4hUzhHA,
bVbpC2ZHKjNrjbfIzeRJ3Q,
cyBEmtNd37HCsCRk2xwz6w,
8Rze3PzRB8zummKDqDky8A,
CoGO4zj0xlAomPb0GH7w1Q,
SxRSWFtBGmjMU3q185hQgg,
bFcAScjYsCRZg3PAk5neGg,
i4cgWQlxnowulB_kRg4-5Q,
0Z5pwWSdfUJGtL4fOKuD6Q,
258CU5sOCbLO4ht87HHztA,"
                

    Elite 2019

                

    ’18

                

    ’17

        "
nwnzvTaFGds45S5KSeneNg,
hoQbAIZa82finRe2_1Tmsw,
nN47SwOYX_IV2M8L2UiWmg,
tjFAg_ENCH1_8uoHhka_RQ,
RmOVILKB2C_UwydHkKf8Pw,
hwMWr5_a_nFTnIbCUTrDXw,
rCRLx4JgJ2o1C6YR-8m6Vw,
k4sgKVfAIp8kA6hQ9T-V0w,
qsCQ29RrFBnF9Pp5egmnOg,
3Tp52Cx-Kzj24ZpCJlrhpQ,
492TcHkNKDt_1j1_xduAKA,
fK14Zgb7XeXq0ok4voUcyw,
SUyQ0TuTQkHGfnVCIqrtwg,
GdZlO3f5n_pxOjURckhtLA,
bMdxYzO2AJeO_zli0fVrOQ,
bvtfndCe0QFzEJ289OCIRg,
9C6dCPMPWf6PrIUC-8MzkA,
8aEcDyOCjVUYktnpCY3ZnQ,
IG3CEytpHpdXsx4vJL_s9g,
n_V45T5GQiHZ6gFpQWc5Nw,
yVmuYQggVaqxNpHoO3_hmg,
C9V2zEro96ZPdf7eLOgxdw,
ioUbb66VC4rpBDh1xXeNrA,
f7sTA9740Ipi33FbLqA9fQ,
bIz_n3nZfOLud-QN6oHqIQ,
B7UviQBxnGSomokBOt50DA,
a4YuzBBtuw4ZayWzUgwRHA,
YWjdcxlHJqU5FFmOKmoFaA,
AdXmlb6HF4dd-dQsofP3KA,
6yRsUNwlJ07DPFmZ5tNOGg,
cxkOaukSldmElfgKNBYIFg,
hdwhgDdM037RE4Liaj1qcw,
x2u1pscm18xlkXDLo4xfYA,
-hm7884U5PTNjoWQB_Ix0Q,
zuOynO3R5JUVUfrTeL-BKw,
s7rHoqL-h1UL6F3pZ3yKjw,
XWyhrvQsD_A3OFpDdbkpUw,
6JAoauwpdrisEvbmv1h1ag,
QsGY9alBb1QfR95yAkSMbw,
eCP3Ngg8MeYOl913C7s2aQ,
rM3niIMdYNzhAyaXPDPx2g,
MTBmWIyEU6Mj5PYeJUWcaw,
kt2XfOVLakufrMxXqzGyjw,
-bZTs7MlFmZR8hnw6zSDaA,
mnM7iMTPuKOsHmhQOb2pYQ,
zXB1nu5KkRX6030yEnpoAQ,
XZlEd8J7s5DhWuSPl24Big,
2q76AwADk5-_ulE-uMf59w,
Lb4I58qRQog1iwqQ36maYw,
R1K9wkteNQ75R33c6Nrqwg,
Pm4d3vU-NUJsg3H63Dg5bw,
jO_NNf-D5ziggcFpWG9-rw,
Yn5oiSQwGZpJ143Uf6bDRw,
XMKCyrgSWyTwt7UUxQIE-w,
IKC1zYvtorU_qgHxr2ZKww,
NHlL-oFQ6-6gbicHIQZXrA,
EhXjFWQuLkxcBL-C6bKnTA,
W6WHZcdE4WdE7SjHGVgiuQ,
eblBcsp3bijC8Wsc_tAeHg,
hkzGQMhWtQVatJ5EVMBuYA,
ijRuBwdvHWjXyLZnh4Y9Qw,
r4y7jRQYshPu_S3zaj1YYw,
UPWooRw8hLslR78KS1YqJA,
2MPsYgWLcOKpi6U4mLRMdA,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

        "
BvyCQ7YsJw2zLguk31noVg,
ikpvVJgEWb6365H8h_EMXA,
2-ABGZ1X7rdrtFutZb4p1g,"
                

    Elite 2013

                

    ’12

        "
ScR3cC-0M7NJb4zj2SDyQg,
iOVTJ-uQ0Ed5XgBlnufTaQ,
s-0RMVzEOtlkr1HT4DPs9g,
sOlVQoh9lffxdnoTUFsCoA,
H4C0WHy8nCRf3DDtCFeAPw,"
                

    Elite 2014

                

    ’13

                

    ’12

                

    ’10

        "
G7cHS4zbceYiG_0sl1Or_Q,
OfMuKOfqN-z3R9aIvVX5vA,
ITmZOf6ga6sQO02OvhIXjA,
TG6LYyYCffDe3pg-V_BMhg,
l2h6G07NGadpOxWlkhyLUA,
Ws21fFDvaUOhuvo3oad6Zg,
2Ena2q7DpZTQyNoJJ1tJ3Q,
DCpiTVk0VQv2SZFWlgPQmg,
K53PSSIws5CrNwJz_PHdyg,
iN6TikGlGTxt_jLFgnS98Q,
JNz0X3ZZqnCz_9W9LSox_w,
yNxFbozsYzHhTiFTIvfZ5g,
S0Hd_etBLUGgSSmnu0bH-g,
Hxh8sM1kzFIz_5ofv1ZM7g,
VmCQb5wQNNyX_a2N7VZxjg,
YWq2cBkco9e3vyx3WgjB1w,
nRCY5BlLiJYIr6VEbspGiw,
9Y0nDI1K97QReyQjHUQxWw,"
                

    Elite 2007

                

    ’06

        "
4xAEcgpc1L6kGLocu2gIBQ,
7r_k37VUm8SktsIMbQsUHw,
YcLrmnzZbuUzrBSDadU5jw,
LJTIJ-jGiDsfpOpIoaoCxg,
WE_dKFavLn5cgIFl9Ue78w,
wHJvL93VKh7hutrXmIlGCQ,
GWsRxc4vpoc5Zunr8SUcXg,
FXV-qp6kfU-6PNzOY-Mk2w,
B-1CSTilkBy_cN7-e-uR6g,
M2bdZys_05PPiLeqCJ-1Sg,
LJQecZL_GG6lqDvQuhVENg,
F7MIzONAfnz8L2jYXLM6dA,
JUqyVECym-glwAABhoYK5A,
WMu_fbkyAEXE6o8Hm1IHiw,
dxy6rUg2kqd-rmyx1HQx_A,
k5uGfV54B5ysvrjn8Ta2iw,
p2dAnD0jkWdXLJOhVakSvA,
OunZ_Zj8-tBMQfQgTRDDyg,
ZpnPlJkoiUwlWLfU_XGGNQ,
s8tID49vNOZFZVDCS_Pv1w,
uTuOrYa7n9J14Ag0zFkcyA,
Iny3uPFHDvzCd117EcaJsQ,
bTls3ZIcWtluPi95IjZMeQ,
0PDSMYLknFCxCt0NviIcKw,
p8yE5tNnAQmMF5KnSY1ukg,
oCxINNjqCCptQ7DcIredVw,
hIlRtoyRp6gzs3fppr7vTQ,
bvsBcLQE7mUtplJQB8TlqQ,
o0WGVr8mG8imkq9Wc69xVw,
x-h3FSaCXVpgK9rMWTwESw,
ckpg7x3mtnEI_YUHlahOxw,
jPgShJSD-icagsGWq-8zyw,
09eEnCZOfcl10qcsB1Au8A,
9pqPnmt-Jbz8EU6u9DjAnQ,
iXQca8qbZM5x3JEnBi_DXw,
XbkbbBlO95ZFgIx94vnjsA,
5nby2j3VXAUbQZQbkl5ZUA,
V55k1vuES6l-Xq5p3x3GIw,
N7r64S9rBos7NkRE75Z-TA,
0yoRwEBRf3LQyuVDQDHShw,
bCWfdOSWZGaV8x4GEUAH6A,
NcYch9NrP_xcM6ZCQVfB6g,
ALKfM8qtfbYDppmPcHjjJQ,
KIiWiKBB30Xjm13Zym2szg,
-V1uvNYjNmIQxT0jB_dwgQ,
nb-9kB1wPBPjUeeE9nNmAw,
VXoFkAsxIr9XOLgSziWnYg,
56oW8yYhPkf0roZ9sYKt5Q,
sOG0kdrNoRG0JsfeSSPg6w,
JbXVbd2PK7Vog9ZiMiIH8Q,
rS3VBUBYf_m-bm6o4H30UQ,
P4zOjvNtIiPE3u6NKBUKbg,
Jtvz0gKigkP2QE4d9fJdlw,
6cbjWSipkml6BvLLUH0IVA,
F-og35Zwz5BXz6Mv8fGCMg,
t_Jm6q8psJoFSkOvdzhWNQ,
FXfORI4LhuYK6ORCaW3SJg,
seLKErcP6pa8sKf-XTGI1Q,
hRop2K84jiIoJuKJBWe9qg,
3wFTMcyS0yEUctMZhurdiQ,
8pHmd5ixgO4BtXRZwy_PEA,
0GHmCNC5DG3Z16R2H-bVLQ,
C1MegRh8PfHilAsxuAPROw,
std1x_FKd-PJ2HfSGkaI9w,
rCJwwCt6kyRO375Y3X_CuA,
KycsHaN0ZIEVZHZOVVPZwg,
VzAcQnun8YIk2xOKQ1gJTg,
Xw1RNBYuF1yds8UYU-6mcA,"
                

    Elite 2012

                

    ’11

                

    ’10

                

    ’09

                

    ’08

                

    ’07

        "
pETabeNodhe3T5i-W93vBA,
yI3oR8TmAJJEvvxLGxyUow,
8vOKK1GJHRYgo4haPYU8aw,
YczZI1NAFgKaKWrDOnxUEw,
1Y2QFYhKaas1ugcA9vel8Q,
9ILSI--gAG47hfcFGwo3tw,
RBVCT_ZfAsjtZVYY1F9JSQ,
-WFa7uOxSfB8N1SW2D9gBA,
pG4sM_j68OHg1VTYkodu-w,
v5pBRlToTvI0THT-LgObUA,
zxopgoDTOUnkDgsBnOmyPg,
IWXttnFlvuxg4JMKI_gSvA,
P2O3O75GeCcncNb7Vy0OFQ,
44o2ruwJN5PwfoKMRyFVFg,
VcYkIi_K_oJqND0JY2lVzA,
C0ETBSq-A6kbZnACagnfBA,
ROGjTLXGTjWI65vRL9KMeQ,
jtzRx3iO5HrH4jwcfdg-OA,
ONI-C3uBclRxOb-KsR2XmQ,
SyWCjvG8yW0jX8nDgxtonA,
1jEMnD0kIrdmeHgQqW55zQ,
0DcOzkpfipevQyYc2h9LOQ,
HxrJBCcWMxcrVdCCYJz4eQ,
eHiM6yCvDlH1fUqN_3ZeAA,
bh3DISNKV7p3KABFOGEIug,
JjTmTspFsDSQU-XYY-0jzA,
B7I9CHXLXQ9X66NkTITm6g,
yeK2XzjGbQBlrI7qZqkCxA,
Osw8OMhshtu_XkvWbgmQEA,
GcMzQb-eL6xpWrRbEBiNMA,
1WEt3KSPIDs337EcAoCrDg,
HGECR37wbnRTVFYWuv8N2g,
ceA1S9WOyryVzJo2G90tkw,
FebFQ0Z5Ugd1PsZZqUnHHw,
BgawZZcvDMaSVbWJiVIyYA,
D7JFggWMwOu5z0YepDnPqw,
4JvYdBl0ScQSMSfhMUpuEg,
IxQzEuGAjI9b07iCqojwTA,
ceFeFL1YADegdjZZ8rI_Cw,
vbWAsX2V4p2S4jwpkAe7tA,
jowhcjwyZfU_aI8s8YrQ2g,
ogzi0rHyeLRKoFFQBILZZA,
2xg2M75bjhpx4qeOIfBmsQ,
wIixh1DDT4DOn9lzgchdlA,
gaX3IKcJDtbizmny1qw3dQ,
ReunqZGx697zdEwk_URdgA,
m67qoWM7z9Nsu1xJIBtd2A,
U5hiVNlo8kZMeVD308omLQ,
hlBhJeOE6Fv-keaCwguLNQ,
KDU0uC4o2mBtFxK2NJ4kGg,"
                

    Elite 2020

                

    ’19

        "
5-pheIk7Vu4i-rGr5yGtHw,
JOSgwETr9F4Cm7Op4eOUJg,
TBnNu64-JMgagTqEJmVo_g,
g1JFP6ZZU6ytPSkgyQcsug,
4m2u0VRcYCdgBbCNyGB2rg,
FAdD0cl2vi2Huc3nufNF6g,
DM6Ly858IHiSvAdcD3VvIQ,
yRAtZbQ76uH4LU5VNWqC5A,
6PJ4Tg41JOwaqHXupietJQ,
HZqQZFLCH700vPaTZnCi7w,
RQ4fXRr3sbk2tQhPbyCZrw,
hU6w2ZAkvlrgmVf-KNyWJA,
P6OjznaPCwLQno4MHyHRfg,
xYRNtOVCOkbTM9t9sOG6_Q,
S5pi_xABixYHPuhaSNx_Kg,
wZr5KsBAFUi8eT11qakR3Q,"
                

    Elite 2019

                

    ’18

        "
vzqY9sQjNdO4slBsBUma-g,
Q-7B9IJZe-JfYeOo6HcKBA,
F6d9WOEc1hq9iVDS6GhFaw,
O6h08hOLajp39O4EuHiJZQ,
Id63R3QQxovzAeGX_Tj7Og,
myWOiWG0Q0hmN4LYxnUDvQ,
3l95EsVJISOSR9QJr3DyZQ,
aiKbXyRy-WxJNMCussaefg,
BPFdYuk9wMzTvyf5-qESfg,
yCYFBUoBy8NOpHtSQqGENA,
